Название опоры;Вес, кг;Источник
ОПХ2-100.57;1,7;ДЕТАЛЬНЕФТЕХИМ ОСТ 36-94-83
ОПХ2-100.76;1,9;ДЕТАЛЬНЕФТЕХИМ ОСТ 36-94-83
ОПХ2-100.89;2,9;ДЕТАЛЬНЕФТЕХИМ ОСТ 36-94-83
ОПХ2-100.108;3,4;ДЕТАЛЬНЕФТЕХИМ ОСТ 36-94-83
ОПХ2-100.114;3,4;ДЕТАЛЬНЕФТЕХИМ ОСТ 36-94-83
ОПХ2-100.133;4,4;ДЕТАЛЬНЕФТЕХИМ ОСТ 36-94-83
ОПХ2-100.159;5,5;ДЕТАЛЬНЕФТЕХИМ ОСТ 36-94-83
ОПХ2-100.165;5,5;ДЕТАЛЬНЕФТЕХИМ ОСТ 36-94-83
ОПХ2-100.194;7,8;ДЕТАЛЬНЕФТЕХИМ ОСТ 36-94-83
ОПХ2-100.219;8,9;ДЕТАЛЬНЕФТЕХИМ ОСТ 36-94-83
ОПХ2-100.273;13,4;ДЕТАЛЬНЕФТЕХИМ ОСТ 36-94-83
ОПХ2-100.325;20,1;ДЕТАЛЬНЕФТЕХИМ ОСТ 36-94-83
ОПХ2-100.377;22,8;ДЕТАЛЬНЕФТЕХИМ ОСТ 36-94-83
ОПХ2-100.426;25,1;ДЕТАЛЬНЕФТЕХИМ ОСТ 36-94-83
ОПХ2-100.480;29,1;ДЕТАЛЬНЕФТЕХИМ ОСТ 36-94-83
ОПХ2-100.530;31,9;ДЕТАЛЬНЕФТЕХИМ ОСТ 36-94-83
ОПХ2-100.630;50,5;ДЕТАЛЬНЕФТЕХИМ ОСТ 36-94-83
ОПХ2-150.57;2;ДЕТАЛЬНЕФТЕХИМ ОСТ 36-94-83
ОПХ2-150.76;2,1;ДЕТАЛЬНЕФТЕХИМ ОСТ 36-94-83
ОПХ2-150.89;2,3;ДЕТАЛЬНЕФТЕХИМ ОСТ 36-94-83
ОПХ2-150.108;4;ДЕТАЛЬНЕФТЕХИМ ОСТ 36-94-83
ОПХ2-150.114;4;ДЕТАЛЬНЕФТЕХИМ ОСТ 36-94-83
ОПХ2-150.133;5;ДЕТАЛЬНЕФТЕХИМ ОСТ 36-94-83
ОПХ2-150.159;6,3;ДЕТАЛЬНЕФТЕХИМ ОСТ 36-94-83
ОПХ2-150.165;6,3;ДЕТАЛЬНЕФТЕХИМ ОСТ 36-94-83
ОПХ2-150.194;8,6;ДЕТАЛЬНЕФТЕХИМ ОСТ 36-94-83
ОПХ2-150.219;10,2;ДЕТАЛЬНЕФТЕХИМ ОСТ 36-94-83
ОПХ2-150.273;14,3;ДЕТАЛЬНЕФТЕХИМ ОСТ 36-94-83
ОПХ2-150.325;21,8;ДЕТАЛЬНЕФТЕХИМ ОСТ 36-94-83
ОПХ2-150.377;24,1;ДЕТАЛЬНЕФТЕХИМ ОСТ 36-94-83
ОПХ2-150.426;29,4;ДЕТАЛЬНЕФТЕХИМ ОСТ 36-94-83
ОПХ2-150.480;32,4;ДЕТАЛЬНЕФТЕХИМ ОСТ 36-94-83
ОПХ2-150.530;35,4;ДЕТАЛЬНЕФТЕХИМ ОСТ 36-94-83
ОПХ2-150.630;55,6;ДЕТАЛЬНЕФТЕХИМ ОСТ 36-94-83
ОПП1-70.18;0,43;Спецпромрезерв ОСТ 36-94-83
ОПП1-70.25;0,43;Спецпромрезерв ОСТ 36-94-83
ОПП1-70.32;0,51;Спецпромрезерв ОСТ 36-94-83
ОПП1-70.48;0,51;Спецпромрезерв ОСТ 36-94-83
ОПП1-100.18;0,6;Спецпромрезерв ОСТ 36-94-83
ОПП1-100.25;0,6;Спецпромрезерв ОСТ 36-94-83
ОПП1-100.32;0,62;Спецпромрезерв ОСТ 36-94-83
ОПХ1-100.32;0,62;Спецпромрезерв ОСТ 36-94-83
ОПП1-100.48;0,62;Спецпромрезерв ОСТ 36-94-83
ОПП2-100.57;1,24;opory.vgs2000 ОСТ 36-94-83
Опора ОПП2-100.57-ст.09Г2С;1,24;zavodsz ОСТ 36-94-83 таблица масс
ОПП2-100.76;1,17;opory.vgs2000 ОСТ 36-94-83
ОПП2-100.89;1,15;opory.vgs2000 ОСТ 36-94-83
Опора ОПП2-100.89 ОСТ 36-94-83;1,15;tpoavers.ru ГОСТ 14911-82 ОСТ 36-94-83
ОПП2-100.108;1,63;opory.vgs2000 ОСТ 36-94-83
Опора ОПП2-100.108 ОСТ 36-94-83;1,63;zavodsz.ru ОСТ 36-94-83 таблица масс
ОПП2-100.114;1,63;opory.vgs2000 ОСТ 36-94-83
Опора ОПП2-100.114 ОСТ 36-94-83;1,63;zavodsz.ru ОСТ 36-94-83 таблица масс
ОПП2-100.133;1,62;opory.vgs2000 ОСТ 36-94-83
ОПП2-100.159;1,97;opory.vgs2000 ОСТ 36-94-83
ОПП2-100.194;3,28;opory.vgs2000 ОСТ 36-94-83
ОПП2-100.219;3,13;opory.vgs2000 ОСТ 36-94-83
ОПП2-100.273;2,9;opory.vgs2000 ОСТ 36-94-83
ОПП2-100.325;7,59;opory.vgs2000 ОСТ 36-94-83
ОПП2-100.377;7,19;opory.vgs2000 ОСТ 36-94-83
ОПП2-100.426;7,03;opory.vgs2000 ОСТ 36-94-83
ОПП2-100.480;10,64;opory.vgs2000 ОСТ 36-94-83
ОПП2-100.530;10,62;opory.vgs2000 ОСТ 36-94-83
ОПП2-100.630;14,87;opory.vgs2000 ОСТ 36-94-83
ОПП2-100.720;12,57;opory.vgs2000 ОСТ 36-94-83
ОПП2-100.820;12,17;opory.vgs2000 ОСТ 36-94-83
ОПП2-100.920;11,81;opory.vgs2000 ОСТ 36-94-83
ОПП2-100.1020;14,93;opory.vgs2000 ОСТ 36-94-83
ОПП2-100.1220;18,74;opory.vgs2000 ОСТ 36-94-83
ОПП2-100.1420;18,07;opory.vgs2000 ОСТ 36-94-83
ОПП2-100.1620;17,63;opory.vgs2000 ОСТ 36-94-83
ОПП2-150.57;1,71;opory.vgs2000 ОСТ 36-94-83
ОПП2-150.76;1,53;opory.vgs2000 ОСТ 36-94-83
ОПП2-150.89;1,61;opory.vgs2000 ОСТ 36-94-83
ОПП2-150.108;2,1;opory.vgs2000 ОСТ 36-94-83
ОПП2-150.133;2,01;opory.vgs2000 ОСТ 36-94-83
ОПП2-150.159;3;opory.vgs2000 ОСТ 36-94-83
ОПП2-150.194;4,11;opory.vgs2000 ОСТ 36-94-83
ОПП2-150.219;3,91;opory.vgs2000 ОСТ 36-94-83
ОПП2-150.273;3,69;opory.vgs2000 ОСТ 36-94-83
