Название опоры;Вес, кг;Источник
57У-01;1,2;Пром. опоры ОСТ 34-10-618-93
57К-02;1,2;Пром. опоры ОСТ 34-10-618-93
76У-03;1,5;Пром. опоры ОСТ 34-10-618-93
76К-04;1,5;Пром. опоры ОСТ 34-10-618-93
89У-05;1,8;Пром. опоры ОСТ 34-10-618-93
89К-06;1,8;Пром. опоры ОСТ 34-10-618-93
108У-07;3,1;Пром. опоры ОСТ 34-10-618-93
108К-08;3,1;Пром. опоры ОСТ 34-10-618-93
108У-09;3,7;Пром. опоры ОСТ 34-10-618-93
108К-10;3,7;Пром. опоры ОСТ 34-10-618-93
133У-11;3,8;Пром. опоры ОСТ 34-10-618-93
133К-12;3,8;Пром. опоры ОСТ 34-10-618-93
133У-13;4,4;Пром. опоры ОСТ 34-10-618-93
133К-14;4,4;Пром. опоры ОСТ 34-10-618-93
159У-15;4,6;Пром. опоры ОСТ 34-10-618-93
159К-16;4,6;Пром. опоры ОСТ 34-10-618-93
159У-17;5,2;Пром. опоры ОСТ 34-10-618-93
159К-18;5,2;Пром. опоры ОСТ 34-10-618-93
219У-19;10,5;Пром. опоры ОСТ 34-10-618-93
219К-20;11,3;Пром. опоры ОСТ 34-10-618-93
219У-21;12,0;Пром. опоры ОСТ 34-10-618-93
219К-22;13,0;Пром. опоры ОСТ 34-10-618-93
273У-23;14,0;Пром. опоры ОСТ 34-10-618-93
273К-24;15,0;Пром. опоры ОСТ 34-10-618-93
273У-25;16,0;Пром. опоры ОСТ 34-10-618-93
273К-26;17,0;Пром. опоры ОСТ 34-10-618-93
325У-27;27,0;Пром. опоры ОСТ 34-10-618-93
325К-28;28,0;Пром. опоры ОСТ 34-10-618-93
325У-29;29,0;Пром. опоры ОСТ 34-10-618-93
325К-30;31,0;Пром. опоры ОСТ 34-10-618-93
377У-31;28,0;Пром. опоры ОСТ 34-10-618-93
377К-32;30,0;Пром. опоры ОСТ 34-10-618-93
377У-33;31,0;Пром. опоры ОСТ 34-10-618-93
377К-34;32,0;Пром. опоры ОСТ 34-10-618-93
426У-35;58,0;Пром. опоры ОСТ 34-10-618-93
426К-36;61,0;Пром. опоры ОСТ 34-10-618-93
426У-37;63,0;Пром. опоры ОСТ 34-10-618-93
426К-38;66,0;Пром. опоры ОСТ 34-10-618-93
478У-39;60,0;Пром. опоры ОСТ 34-10-618-93
478К-40;64,0;Пром. опоры ОСТ 34-10-618-93
478У-41;65,0;Пром. опоры ОСТ 34-10-618-93
478К-42;68,0;Пром. опоры ОСТ 34-10-618-93
530У-43;72,0;Пром. опоры ОСТ 34-10-618-93
530К-44;75,0;Пром. опоры ОСТ 34-10-618-93
530У-45;77,0;Пром. опоры ОСТ 34-10-618-93
530К-46;80,0;Пром. опоры ОСТ 34-10-618-93
630У-47;94,0;Пром. опоры ОСТ 34-10-618-93
630К-48;98,0;Пром. опоры ОСТ 34-10-618-93
630У-49;100,0;Пром. опоры ОСТ 34-10-618-93
630К-50;104,0;Пром. опоры ОСТ 34-10-618-93
720У-51;123,0;Пром. опоры ОСТ 34-10-618-93
720К-52;131,0;Пром. опоры ОСТ 34-10-618-93
720У-53;130,0;Пром. опоры ОСТ 34-10-618-93
720К-54;138,0;Пром. опоры ОСТ 34-10-618-93
820У-55;129,0;Пром. опоры ОСТ 34-10-618-93
820К-56;137,0;Пром. опоры ОСТ 34-10-618-93
820У-57;136,0;Пром. опоры ОСТ 34-10-618-93
820К-58;145,0;Пром. опоры ОСТ 34-10-618-93
920У-59;220,0;Пром. опоры ОСТ 34-10-618-93
920К-60;236,0;Пром. опоры ОСТ 34-10-618-93
1020У-63;228,0;Пром. опоры ОСТ 34-10-618-93
1020К-64;246,0;Пром. опоры ОСТ 34-10-618-93
1220У-67;309,0;Пром. опоры ОСТ 34-10-618-93
1220К-68;332,0;Пром. опоры ОСТ 34-10-618-93
1420У-71;358,0;Пром. опоры ОСТ 34-10-618-93
1420К-72;380,0;Пром. опоры ОСТ 34-10-618-93
1620У-75;495,0;Пром. опоры ОСТ 34-10-618-93
1620К-76;522,0;Пром. опоры ОСТ 34-10-618-93
1620У-77;512,0;Пром. опоры ОСТ 34-10-618-93
1620К-78;539,0;Пром. опоры ОСТ 34-10-618-93
