Название опоры;Вес, кг;Источник
Корпус 01 ОСТ 24.125.152-01;1,33;opora-trub.ru ОСТ 24.125.152-01
Корпус 02 ОСТ 24.125.152-01;1,40;opora-trub.ru ОСТ 24.125.152-01
Корпус 03 ОСТ 24.125.152-01;2,67;opora-trub.ru ОСТ 24.125.152-01
Корпус 04 ОСТ 24.125.152-01;2,87;opora-trub.ru ОСТ 24.125.152-01
Корпус 05 ОСТ 24.125.152-01;3,01;opora-trub.ru ОСТ 24.125.152-01
Корпус 06 ОСТ 24.125.152-01;12,48;opora-trub.ru ОСТ 24.125.152-01
Корпус 07 ОСТ 24.125.152-01;12,74;opora-trub.ru ОСТ 24.125.152-01
Корпус 08 ОСТ 24.125.152-01;18,02;opora-trub.ru ОСТ 24.125.152-01
Корпус 09 ОСТ 24.125.152-01;19,76;opora-trub.ru ОСТ 24.125.152-01
Корпус 10 ОСТ 24.125.152-01;29,72;opora-trub.ru ОСТ 24.125.152-01
Корпус 11 ОСТ 24.125.152-01;48,88;opora-trub.ru ОСТ 24.125.152-01
Корпус 12 ОСТ 24.125.152-01;55,56;opora-trub.ru ОСТ 24.125.152-01
Корпус 13 ОСТ 24.125.152-01;61,36;opora-trub.ru ОСТ 24.125.152-01
Корпус 14 ОСТ 24.125.152-01;65,94;opora-trub.ru ОСТ 24.125.152-01
Корпус 15 ОСТ 24.125.152-01;107,24;opora-trub.ru ОСТ 24.125.152-01
Корпус 16 ОСТ 24.125.152-01;131,14;opora-trub.ru ОСТ 24.125.152-01
Корпус 17 ОСТ 24.125.152-01;152,44;opora-trub.ru ОСТ 24.125.152-01
Корпус 18 ОСТ 24.125.152-01;0,88;opora-trub.ru ОСТ 24.125.152-01
Корпус 19 ОСТ 24.125.152-01;0,93;opora-trub.ru ОСТ 24.125.152-01
Корпус 20 ОСТ 24.125.152-01;1,98;opora-trub.ru ОСТ 24.125.152-01
Корпус 21 ОСТ 24.125.152-01;3,05;opora-trub.ru ОСТ 24.125.152-01
Корпус 22 ОСТ 24.125.152-01;3,22;opora-trub.ru ОСТ 24.125.152-01
Корпус 23 ОСТ 24.125.152-01;3,43;opora-trub.ru ОСТ 24.125.152-01
Корпус 24 ОСТ 24.125.152-01;11,00;opora-trub.ru ОСТ 24.125.152-01
Корпус 25 ОСТ 24.125.152-01;11,20;opora-trub.ru ОСТ 24.125.152-01
Корпус 26 ОСТ 24.125.152-01;16,42;opora-trub.ru ОСТ 24.125.152-01
Корпус 27 ОСТ 24.125.152-01;18,02;opora-trub.ru ОСТ 24.125.152-01
Корпус 28 ОСТ 24.125.152-01;27,72;opora-trub.ru ОСТ 24.125.152-01
Корпус 29 ОСТ 24.125.152-01;45,76;opora-trub.ru ОСТ 24.125.152-01
Корпус 30 ОСТ 24.125.152-01;52,66;opora-trub.ru ОСТ 24.125.152-01
Корпус 31 ОСТ 24.125.152-01;58,66;opora-trub.ru ОСТ 24.125.152-01
Корпус 32 ОСТ 24.125.152-01;62,54;opora-trub.ru ОСТ 24.125.152-01
Корпус 33 ОСТ 24.125.152-01;101,74;opora-trub.ru ОСТ 24.125.152-01
Корпус 34 ОСТ 24.125.152-01;123,94;opora-trub.ru ОСТ 24.125.152-01
Корпус 35 ОСТ 24.125.152-01;144,94;opora-trub.ru ОСТ 24.125.152-01
