Название опоры;Вес, кг;Источник
Л8-194.000;9,5;szzmk.ru, oporytrub.ru (хомутовая скользящая Dн 219-220)
Л8-513.000-11;0,584;promng.ru, КипМонтажПоставка (скользящая без изоляции Dн 57)
Л8-515.000-11;0,2;szzmk.ru (бескорпусная скользящая Dн 57)
