Название опоры;Вес, кг;Источник
Полухомут 01 ОСТ 24.125.114-01;0,57;opora-trub.ru ОСТ 24.125.114-01
Полухомут 02 ОСТ 24.125.114-01;0,64;opora-trub.ru ОСТ 24.125.114-01
Полухомут 03 ОСТ 24.125.114-01;0,79;opora-trub.ru ОСТ 24.125.114-01
Полухомут 04 ОСТ 24.125.114-01;1,30;opora-trub.ru ОСТ 24.125.114-01
Полухомут 05 ОСТ 24.125.114-01;1,50;opora-trub.ru ОСТ 24.125.114-01
Полухомут 06 ОСТ 24.125.114-01;2,30;opora-trub.ru ОСТ 24.125.114-01
Полухомут 07 ОСТ 24.125.114-01;4,10;opora-trub.ru ОСТ 24.125.114-01
Полухомут 08 ОСТ 24.125.114-01;4,40;opora-trub.ru ОСТ 24.125.114-01
Полухомут 09 ОСТ 24.125.114-01;5,90;opora-trub.ru ОСТ 24.125.114-01
Полухомут 10 ОСТ 24.125.114-01;6,60;opora-trub.ru ОСТ 24.125.114-01
Полухомут 11 ОСТ 24.125.114-01;5,90;opora-trub.ru ОСТ 24.125.114-01
Полухомут 12 ОСТ 24.125.114-01;14,90;opora-trub.ru ОСТ 24.125.114-01
Полухомут 13 ОСТ 24.125.114-01;6,40;opora-trub.ru ОСТ 24.125.114-01
Полухомут 14 ОСТ 24.125.114-01;16,10;opora-trub.ru ОСТ 24.125.114-01
Полухомут 15 ОСТ 24.125.114-01;6,80;opora-trub.ru ОСТ 24.125.114-01
Полухомут 16 ОСТ 24.125.114-01;17,30;opora-trub.ru ОСТ 24.125.114-01
Полухомут 17 ОСТ 24.125.114-01;18,90;opora-trub.ru ОСТ 24.125.114-01
Полухомут 18 ОСТ 24.125.114-01;21,40;opora-trub.ru ОСТ 24.125.114-01
Полухомут 19 ОСТ 24.125.114-01;24,00;opora-trub.ru ОСТ 24.125.114-01
Полухомут 20 ОСТ 24.125.114-01;40,50;opora-trub.ru ОСТ 24.125.114-01
Полухомут 21 ОСТ 24.125.114-01;0,53;opora-trub.ru ОСТ 24.125.114-01
Полухомут 22 ОСТ 24.125.114-01;0,61;opora-trub.ru ОСТ 24.125.114-01
Полухомут 23 ОСТ 24.125.114-01;0,66;opora-trub.ru ОСТ 24.125.114-01
Полухомут 24 ОСТ 24.125.114-01;0,75;opora-trub.ru ОСТ 24.125.114-01
Полухомут 25 ОСТ 24.125.114-01;1,20;opora-trub.ru ОСТ 24.125.114-01
Полухомут 26 ОСТ 24.125.114-01;1,40;opora-trub.ru ОСТ 24.125.114-01
Полухомут 27 ОСТ 24.125.114-01;2,20;opora-trub.ru ОСТ 24.125.114-01
Полухомут 28 ОСТ 24.125.114-01;4,90;opora-trub.ru ОСТ 24.125.114-01
Полухомут 29 ОСТ 24.125.114-01;5,20;opora-trub.ru ОСТ 24.125.114-01
Полухомут 30 ОСТ 24.125.114-01;5,70;opora-trub.ru ОСТ 24.125.114-01
Полухомут 31 ОСТ 24.125.114-01;6,30;opora-trub.ru ОСТ 24.125.114-01
Полухомут 32 ОСТ 24.125.114-01;8,80;opora-trub.ru ОСТ 24.125.114-01
Полухомут 33 ОСТ 24.125.114-01;9,50;opora-trub.ru ОСТ 24.125.114-01
Полухомут 34 ОСТ 24.125.114-01;13,10;opora-trub.ru ОСТ 24.125.114-01
Полухомут 35 ОСТ 24.125.114-01;14,50;opora-trub.ru ОСТ 24.125.114-01
Полухомут 36 ОСТ 24.125.114-01;16,50;opora-trub.ru ОСТ 24.125.114-01
Полухомут 37 ОСТ 24.125.114-01;28,40;opora-trub.ru ОСТ 24.125.114-01
Полухомут 38 ОСТ 24.125.114-01;31,40;opora-trub.ru ОСТ 24.125.114-01
