Название опоры;Вес, кг;Источник
Блок пружинный 01 ОСТ 24.125.166-01;25,79;opora-trub.ru ОСТ 24.125.166-01
Блок пружинный 02 ОСТ 24.125.166-01;33,91;opora-trub.ru ОСТ 24.125.166-01
Блок пружинный 03 ОСТ 24.125.166-01;79,21;opora-trub.ru ОСТ 24.125.166-01
Блок пружинный 04 ОСТ 24.125.166-01;85,05;opora-trub.ru ОСТ 24.125.166-01
Блок пружинный 05 ОСТ 24.125.166-01;91,09;opora-trub.ru ОСТ 24.125.166-01
Блок пружинный 06 ОСТ 24.125.166-01;101,82;opora-trub.ru ОСТ 24.125.166-01
Блок пружинный 07 ОСТ 24.125.166-01;18,90;opora-trub.ru ОСТ 24.125.166-01
Блок пружинный 08 ОСТ 24.125.166-01;23,54;opora-trub.ru ОСТ 24.125.166-01
Блок пружинный 09 ОСТ 24.125.166-01;57,65;opora-trub.ru ОСТ 24.125.166-01
Блок пружинный 10 ОСТ 24.125.166-01;61,05;opora-trub.ru ОСТ 24.125.166-01
Блок пружинный 11 ОСТ 24.125.166-01;64,70;opora-trub.ru ОСТ 24.125.166-01
Блок пружинный 12 ОСТ 24.125.166-01;72,46;opora-trub.ru ОСТ 24.125.166-01
