Название опоры;Вес, кг;Источник
Вилка 01 ОСТ 24.125.102-01;0,36;opora-trub.ru ОСТ 24.125.102-01
Вилка 02 ОСТ 24.125.102-01;0,73;opora-trub.ru ОСТ 24.125.102-01
Вилка 03 ОСТ 24.125.102-01;1,18;opora-trub.ru ОСТ 24.125.102-01
Вилка 04 ОСТ 24.125.102-01;2,09;opora-trub.ru ОСТ 24.125.102-01
Вилка 05 ОСТ 24.125.102-01;3,49;opora-trub.ru ОСТ 24.125.102-01
Вилка 06 ОСТ 24.125.102-01;5,88;opora-trub.ru ОСТ 24.125.102-01
Вилка 07 ОСТ 24.125.102-01;14,91;opora-trub.ru ОСТ 24.125.102-01
Вилка 08 ОСТ 24.125.102-01;15,01;opora-trub.ru ОСТ 24.125.102-01
