Название опоры;Вес, кг;Источник
Тяга резьбовая 01 ОСТ 24.125.107-01;0,07;opora-trub.ru ОСТ 24.125.107-01
Тяга резьбовая 02 ОСТ 24.125.107-01;0,22;opora-trub.ru ОСТ 24.125.107-01
Тяга резьбовая 03 ОСТ 24.125.107-01;0,36;opora-trub.ru ОСТ 24.125.107-01
Тяга резьбовая 04 ОСТ 24.125.107-01;0,49;opora-trub.ru ОСТ 24.125.107-01
Тяга резьбовая 05 ОСТ 24.125.107-01;0,53;opora-trub.ru ОСТ 24.125.107-01
Тяга резьбовая 06 ОСТ 24.125.107-01;0,71;opora-trub.ru ОСТ 24.125.107-01
Тяга резьбовая 07 ОСТ 24.125.107-01;0,89;opora-trub.ru ОСТ 24.125.107-01
Тяга резьбовая 08 ОСТ 24.125.107-01;1,78;opora-trub.ru ОСТ 24.125.107-01
Тяга резьбовая 09 ОСТ 24.125.107-01;0,24;opora-trub.ru ОСТ 24.125.107-01
Тяга резьбовая 10 ОСТ 24.125.107-01;0,55;opora-trub.ru ОСТ 24.125.107-01
Тяга резьбовая 11 ОСТ 24.125.107-01;0,63;opora-trub.ru ОСТ 24.125.107-01
Тяга резьбовая 12 ОСТ 24.125.107-01;0,71;opora-trub.ru ОСТ 24.125.107-01
Тяга резьбовая 13 ОСТ 24.125.107-01;0,79;opora-trub.ru ОСТ 24.125.107-01
Тяга резьбовая 14 ОСТ 24.125.107-01;0,87;opora-trub.ru ОСТ 24.125.107-01
Тяга резьбовая 15 ОСТ 24.125.107-01;0,95;opora-trub.ru ОСТ 24.125.107-01
Тяга резьбовая 16 ОСТ 24.125.107-01;1,03;opora-trub.ru ОСТ 24.125.107-01
Тяга резьбовая 17 ОСТ 24.125.107-01;1,11;opora-trub.ru ОСТ 24.125.107-01
Тяга резьбовая 18 ОСТ 24.125.107-01;1,19;opora-trub.ru ОСТ 24.125.107-01
Тяга резьбовая 19 ОСТ 24.125.107-01;1,27;opora-trub.ru ОСТ 24.125.107-01
Тяга резьбовая 20 ОСТ 24.125.107-01;1,34;opora-trub.ru ОСТ 24.125.107-01
Тяга резьбовая 21 ОСТ 24.125.107-01;1,42;opora-trub.ru ОСТ 24.125.107-01
Тяга резьбовая 22 ОСТ 24.125.107-01;1,50;opora-trub.ru ОСТ 24.125.107-01
Тяга резьбовая 23 ОСТ 24.125.107-01;1,58;opora-trub.ru ОСТ 24.125.107-01
Тяга резьбовая 24 ОСТ 24.125.107-01;3,16;opora-trub.ru ОСТ 24.125.107-01
Тяга резьбовая 25 ОСТ 24.125.107-01;0,40;opora-trub.ru ОСТ 24.125.107-01
Тяга резьбовая 26 ОСТ 24.125.107-01;0,74;opora-trub.ru ОСТ 24.125.107-01
Тяга резьбовая 27 ОСТ 24.125.107-01;1,11;opora-trub.ru ОСТ 24.125.107-01
Тяга резьбовая 28 ОСТ 24.125.107-01;1,24;opora-trub.ru ОСТ 24.125.107-01
Тяга резьбовая 29 ОСТ 24.125.107-01;1,48;opora-trub.ru ОСТ 24.125.107-01
Тяга резьбовая 30 ОСТ 24.125.107-01;1,73;opora-trub.ru ОСТ 24.125.107-01
Тяга резьбовая 31 ОСТ 24.125.107-01;1,85;opora-trub.ru ОСТ 24.125.107-01
Тяга резьбовая 32 ОСТ 24.125.107-01;1,97;opora-trub.ru ОСТ 24.125.107-01
Тяга резьбовая 33 ОСТ 24.125.107-01;2,09;opora-trub.ru ОСТ 24.125.107-01
Тяга резьбовая 34 ОСТ 24.125.107-01;2,47;opora-trub.ru ОСТ 24.125.107-01
Тяга резьбовая 35 ОСТ 24.125.107-01;2,59;opora-trub.ru ОСТ 24.125.107-01
Тяга резьбовая 36 ОСТ 24.125.107-01;3,09;opora-trub.ru ОСТ 24.125.107-01
Тяга резьбовая 37 ОСТ 24.125.107-01;3,21;opora-trub.ru ОСТ 24.125.107-01
Тяга резьбовая 38 ОСТ 24.125.107-01;4,94;opora-trub.ru ОСТ 24.125.107-01
Тяга резьбовая 39 ОСТ 24.125.107-01;0,71;opora-trub.ru ОСТ 24.125.107-01
Тяга резьбовая 40 ОСТ 24.125.107-01;1,42;opora-trub.ru ОСТ 24.125.107-01
