Название опоры;Вес, кг;Источник
ТС-626.00.000;3,6;Серия 5.903-13 вып. 8-95 (rosmet-opora.ru)
ТС-626.00.000-001;4,4;Серия 5.903-13 вып. 8-95 (rosmet-opora.ru)
ТС-626.00.000-002;5,9;Серия 5.903-13 вып. 8-95 (rosmet-opora.ru)
ТС-626.00.000-003;4,7;Серия 5.903-13 вып. 8-95 (rosmet-opora.ru)
ТС-626.00.000-004;5,1;Серия 5.903-13 вып. 8-95 (rosmet-opora.ru)
ТС-626.00.000-005;5,9;Серия 5.903-13 вып. 8-95 (rosmet-opora.ru)
ТС-626.00.000-006;5,3;Серия 5.903-13 вып. 8-95 (rosmet-opora.ru)
ТС-626.00.000-007;6,2;Серия 5.903-13 вып. 8-95 (rosmet-opora.ru)
ТС-626.00.000-008;7,2;Серия 5.903-13 вып. 8-95 (rosmet-opora.ru)
ТС-626.00.000-009;6,5;Серия 5.903-13 вып. 8-95 (rosmet-opora.ru)
ТС-626.00.000-010;7,3;Серия 5.903-13 вып. 8-95 (rosmet-opora.ru)
ТС-626.00.000-011;8,3;Серия 5.903-13 вып. 8-95 (rosmet-opora.ru)
ТС-626.00.000-012;7,1;Серия 5.903-13 вып. 8-95 (rosmet-opora.ru)
ТС-626.00.000-013;8,1;Серия 5.903-13 вып. 8-95 (rosmet-opora.ru)
ТС-626.00.000-014;9;Серия 5.903-13 вып. 8-95 (rosmet-opora.ru)
ТС-626.00.000-015;8,3;Серия 5.903-13 вып. 8-95 (rosmet-opora.ru)
ТС-626.00.000-016;9,3;Серия 5.903-13 вып. 8-95 (rosmet-opora.ru)
ТС-626.00.000-017;10,2;Серия 5.903-13 вып. 8-95 (rosmet-opora.ru)
ТС-626.00.000-018;12,4;Серия 5.903-13 вып. 8-95 (rosmet-opora.ru)
ТС-626.00.000-019;13,8;Серия 5.903-13 вып. 8-95 (rosmet-opora.ru)
ТС-626.00.000-020;15,2;Серия 5.903-13 вып. 8-95 (rosmet-opora.ru)
