Название опоры;Вес, кг;Источник
57У-01;0,8;Промнефтегаз ОСТ 34-10-616-93
57К-02;0,8;Промнефтегаз ОСТ 34-10-616-93
76У-03;1,0;Промнефтегаз ОСТ 34-10-616-93
76К-04;1,0;Промнефтегаз ОСТ 34-10-616-93
89У-05;1,0;Промнефтегаз ОСТ 34-10-616-93
89К-06;1,0;Промнефтегаз ОСТ 34-10-616-93
108У-07;1,8;Промнефтегаз ОСТ 34-10-616-93
108К-08;1,8;Промнефтегаз ОСТ 34-10-616-93
108У-09;2,4;Промнефтегаз ОСТ 34-10-616-93
108К-10;2,4;Промнефтегаз ОСТ 34-10-616-93
108У-11;2,5;Промнефтегаз ОСТ 34-10-616-93
108К-12;2,5;Промнефтегаз ОСТ 34-10-616-93
108У-13;3,3;Промнефтегаз ОСТ 34-10-616-93
108К-14;3,3;Промнефтегаз ОСТ 34-10-616-93
133У-15;1,8;Промнефтегаз ОСТ 34-10-616-93
133К-16;1,8;Промнефтегаз ОСТ 34-10-616-93
133У-17;2,4;Промнефтегаз ОСТ 34-10-616-93
133К-18;2,4;Промнефтегаз ОСТ 34-10-616-93
133У-19;2,5;Промнефтегаз ОСТ 34-10-616-93
133К-20;2,5;Промнефтегаз ОСТ 34-10-616-93
133У-21;3,3;Промнефтегаз ОСТ 34-10-616-93
133К-22;3,3;Промнефтегаз ОСТ 34-10-616-93
159У-23;2,1;Промнефтегаз ОСТ 34-10-616-93
159К-24;2,1;Промнефтегаз ОСТ 34-10-616-93
159У-25;2,7;Промнефтегаз ОСТ 34-10-616-93
159К-26;2,7;Промнефтегаз ОСТ 34-10-616-93
159У-27;2,8;Промнефтегаз ОСТ 34-10-616-93
159К-28;2,8;Промнефтегаз ОСТ 34-10-616-93
159У-29;3,8;Промнефтегаз ОСТ 34-10-616-93
159К-30;3,8;Промнефтегаз ОСТ 34-10-616-93
219У-31;5,9;Промнефтегаз ОСТ 34-10-616-93
219К-32;5,9;Промнефтегаз ОСТ 34-10-616-93
219У-33;7,3;Промнефтегаз ОСТ 34-10-616-93
219К-34;7,3;Промнефтегаз ОСТ 34-10-616-93
219У-35;6,1;Промнефтегаз ОСТ 34-10-616-93
219К-36;6,1;Промнефтегаз ОСТ 34-10-616-93
219У-37;7,6;Промнефтегаз ОСТ 34-10-616-93
219К-38;7,6;Промнефтегаз ОСТ 34-10-616-93
273У-39;6,2;Промнефтегаз ОСТ 34-10-616-93
273К-40;6,2;Промнефтегаз ОСТ 34-10-616-93
273У-41;7,6;Промнефтегаз ОСТ 34-10-616-93
273К-42;7,6;Промнефтегаз ОСТ 34-10-616-93
273У-43;7,8;Промнефтегаз ОСТ 34-10-616-93
273К-44;7,8;Промнефтегаз ОСТ 34-10-616-93
273У-45;9,5;Промнефтегаз ОСТ 34-10-616-93
273К-46;9,5;Промнефтегаз ОСТ 34-10-616-93
325У-47;11,4;Промнефтегаз ОСТ 34-10-616-93
325К-48;11,4;Промнефтегаз ОСТ 34-10-616-93
325У-49;13,5;Промнефтегаз ОСТ 34-10-616-93
325К-50;13,5;Промнефтегаз ОСТ 34-10-616-93
325У-51;16,5;Промнефтегаз ОСТ 34-10-616-93
325К-52;16,5;Промнефтегаз ОСТ 34-10-616-93
325У-53;19,0;Промнефтегаз ОСТ 34-10-616-93
325К-54;19,0;Промнефтегаз ОСТ 34-10-616-93
377У-55;11,2;Промнефтегаз ОСТ 34-10-616-93
377К-56;11,2;Промнефтегаз ОСТ 34-10-616-93
377У-57;13,0;Промнефтегаз ОСТ 34-10-616-93
377К-58;13,0;Промнефтегаз ОСТ 34-10-616-93
377У-59;16,3;Промнефтегаз ОСТ 34-10-616-93
377К-60;16,3;Промнефтегаз ОСТ 34-10-616-93
377У-61;18,6;Промнефтегаз ОСТ 34-10-616-93
377К-62;18,6;Промнефтегаз ОСТ 34-10-616-93
426У-63;22,6;Промнефтегаз ОСТ 34-10-616-93
426К-64;22,6;Промнефтегаз ОСТ 34-10-616-93
426У-65;26,0;Промнефтегаз ОСТ 34-10-616-93
426К-66;26,0;Промнефтегаз ОСТ 34-10-616-93
426У-67;36,0;Промнефтегаз ОСТ 34-10-616-93
426К-68;36,0;Промнефтегаз ОСТ 34-10-616-93
426У-69;41,0;Промнефтегаз ОСТ 34-10-616-93
426К-70;41,0;Промнефтегаз ОСТ 34-10-616-93
478У-71;22,3;Промнефтегаз ОСТ 34-10-616-93
478К-72;22,3;Промнефтегаз ОСТ 34-10-616-93
478У-73;26,0;Промнефтегаз ОСТ 34-10-616-93
478К-74;26,0;Промнефтегаз ОСТ 34-10-616-93
478У-75;34,6;Промнефтегаз ОСТ 34-10-616-93
