Название опоры;Вес, кг;Источник
Опора 01 ОСТ 24.125.154-01;1,99;opora-trub.ru ОСТ 24.125.154-01
Опора 02 ОСТ 24.125.154-01;2,13;opora-trub.ru ОСТ 24.125.154-01
Опора 03 ОСТ 24.125.154-01;2,97;opora-trub.ru ОСТ 24.125.154-01
Опора 04 ОСТ 24.125.154-01;3,23;opora-trub.ru ОСТ 24.125.154-01
Опора 05 ОСТ 24.125.154-01;3,43;opora-trub.ru ОСТ 24.125.154-01
Опора 06 ОСТ 24.125.154-01;6,62;opora-trub.ru ОСТ 24.125.154-01
Опора 07 ОСТ 24.125.154-01;6,88;opora-trub.ru ОСТ 24.125.154-01
Опора 08 ОСТ 24.125.154-01;11,41;opora-trub.ru ОСТ 24.125.154-01
Опора 09 ОСТ 24.125.154-01;11,75;opora-trub.ru ОСТ 24.125.154-01
Опора 10 ОСТ 24.125.154-01;16,20;opora-trub.ru ОСТ 24.125.154-01
Опора 11 ОСТ 24.125.154-01;25,98;opora-trub.ru ОСТ 24.125.154-01
Опора 12 ОСТ 24.125.154-01;29,46;opora-trub.ru ОСТ 24.125.154-01
Опора 13 ОСТ 24.125.154-01;38,46;opora-trub.ru ОСТ 24.125.154-01
Опора 14 ОСТ 24.125.154-01;44,64;opora-trub.ru ОСТ 24.125.154-01
Опора 15 ОСТ 24.125.154-01;68,04;opora-trub.ru ОСТ 24.125.154-01
Опора 16 ОСТ 24.125.154-01;76,24;opora-trub.ru ОСТ 24.125.154-01
Опора 17 ОСТ 24.125.154-01;86,32;opora-trub.ru ОСТ 24.125.154-01
Опора 18 ОСТ 24.125.154-01;1,40;opora-trub.ru ОСТ 24.125.154-01
Опора 19 ОСТ 24.125.154-01;1,50;opora-trub.ru ОСТ 24.125.154-01
Опора 20 ОСТ 24.125.154-01;2,79;opora-trub.ru ОСТ 24.125.154-01
Опора 21 ОСТ 24.125.154-01;3,15;opora-trub.ru ОСТ 24.125.154-01
Опора 22 ОСТ 24.125.154-01;3,43;opora-trub.ru ОСТ 24.125.154-01
Опора 23 ОСТ 24.125.154-01;3,57;opora-trub.ru ОСТ 24.125.154-01
Опора 24 ОСТ 24.125.154-01;5,98;opora-trub.ru ОСТ 24.125.154-01
Опора 25 ОСТ 24.125.154-01;6,18;opora-trub.ru ОСТ 24.125.154-01
Опора 26 ОСТ 24.125.154-01;10,54;opora-trub.ru ОСТ 24.125.154-01
Опора 27 ОСТ 24.125.154-01;10,84;opora-trub.ru ОСТ 24.125.154-01
Опора 28 ОСТ 24.125.154-01;15,03;opora-trub.ru ОСТ 24.125.154-01
Опора 29 ОСТ 24.125.154-01;24,38;opora-trub.ru ОСТ 24.125.154-01
Опора 30 ОСТ 24.125.154-01;27,60;opora-trub.ru ОСТ 24.125.154-01
Опора 31 ОСТ 24.125.154-01;36,64;opora-trub.ru ОСТ 24.125.154-01
Опора 32 ОСТ 24.125.154-01;42,60;opora-trub.ru ОСТ 24.125.154-01
Опора 33 ОСТ 24.125.154-01;64,90;opora-trub.ru ОСТ 24.125.154-01
Опора 34 ОСТ 24.125.154-01;72,10;opora-trub.ru ОСТ 24.125.154-01
Опора 35 ОСТ 24.125.154-01;80,70;opora-trub.ru ОСТ 24.125.154-01
Опора 36 ОСТ 24.125.154-01;1,48;opora-trub.ru ОСТ 24.125.154-01
Опора 37 ОСТ 24.125.154-01;1,62;opora-trub.ru ОСТ 24.125.154-01
Опора 38 ОСТ 24.125.154-01;2,90;opora-trub.ru ОСТ 24.125.154-01
Опора 39 ОСТ 24.125.154-01;3,31;opora-trub.ru ОСТ 24.125.154-01
Опора 40 ОСТ 24.125.154-01;3,67;opora-trub.ru ОСТ 24.125.154-01
Опора 41 ОСТ 24.125.154-01;3,85;opora-trub.ru ОСТ 24.125.154-01
Опора 42 ОСТ 24.125.154-01;6,52;opora-trub.ru ОСТ 24.125.154-01
Опора 43 ОСТ 24.125.154-01;11,04;opora-trub.ru ОСТ 24.125.154-01
Опора 44 ОСТ 24.125.154-01;11,40;opora-trub.ru ОСТ 24.125.154-01
Опора 45 ОСТ 24.125.154-01;15,90;opora-trub.ru ОСТ 24.125.154-01
