Название опоры;Вес, кг;Источник
085;;ОСТ 153-34.0-972-99А (вес не найден в открытых источниках)
Опора 085 ОСТ 153-34.0-972-99А;;ОСТ 153-34.0-972-99А (вес не найден в открытых источниках)
