Название опоры;Вес, кг;Источник
Полухомут 01 ОСТ 24.125.128-01;1,70;opora-trub.ru ОСТ 24.125.128-01
Полухомут 02 ОСТ 24.125.128-01;2,10;opora-trub.ru ОСТ 24.125.128-01
Полухомут 03 ОСТ 24.125.128-01;4,70;opora-trub.ru ОСТ 24.125.128-01
Полухомут 04 ОСТ 24.125.128-01;6,40;opora-trub.ru ОСТ 24.125.128-01
Полухомут 05 ОСТ 24.125.128-01;9,10;opora-trub.ru ОСТ 24.125.128-01
Полухомут 06 ОСТ 24.125.128-01;12,40;opora-trub.ru ОСТ 24.125.128-01
Полухомут 07 ОСТ 24.125.128-01;15,00;opora-trub.ru ОСТ 24.125.128-01
Полухомут 08 ОСТ 24.125.128-01;30,70;opora-trub.ru ОСТ 24.125.128-01
Полухомут 09 ОСТ 24.125.128-01;25,10;opora-trub.ru ОСТ 24.125.128-01
Полухомут 10 ОСТ 24.125.128-01;36,50;opora-trub.ru ОСТ 24.125.128-01
Полухомут 11 ОСТ 24.125.128-01;39,40;opora-trub.ru ОСТ 24.125.128-01
Полухомут 12 ОСТ 24.125.128-01;33,70;opora-trub.ru ОСТ 24.125.128-01
Полухомут 13 ОСТ 24.125.128-01;53,40;opora-trub.ru ОСТ 24.125.128-01
Полухомут 14 ОСТ 24.125.128-01;35,50;opora-trub.ru ОСТ 24.125.128-01
Полухомут 15 ОСТ 24.125.128-01;56,20;opora-trub.ru ОСТ 24.125.128-01
Полухомут 16 ОСТ 24.125.128-01;37,50;opora-trub.ru ОСТ 24.125.128-01
Полухомут 17 ОСТ 24.125.128-01;59,40;opora-trub.ru ОСТ 24.125.128-01
Полухомут 18 ОСТ 24.125.128-01;41,20;opora-trub.ru ОСТ 24.125.128-01
Полухомут 19 ОСТ 24.125.128-01;65,60;opora-trub.ru ОСТ 24.125.128-01
Полухомут 20 ОСТ 24.125.128-01;45,90;opora-trub.ru ОСТ 24.125.128-01
Полухомут 21 ОСТ 24.125.128-01;68,80;opora-trub.ru ОСТ 24.125.128-01
Полухомут 22 ОСТ 24.125.128-01;160,00;opora-trub.ru ОСТ 24.125.128-01
Полухомут 23 ОСТ 24.125.128-01;185,00;opora-trub.ru ОСТ 24.125.128-01
Полухомут 24 ОСТ 24.125.128-01;1,30;opora-trub.ru ОСТ 24.125.128-01
Полухомут 25 ОСТ 24.125.128-01;1,40;opora-trub.ru ОСТ 24.125.128-01
Полухомут 26 ОСТ 24.125.128-01;1,90;opora-trub.ru ОСТ 24.125.128-01
Полухомут 27 ОСТ 24.125.128-01;3,40;opora-trub.ru ОСТ 24.125.128-01
Полухомут 28 ОСТ 24.125.128-01;3,50;opora-trub.ru ОСТ 24.125.128-01
Полухомут 29 ОСТ 24.125.128-01;6,40;opora-trub.ru ОСТ 24.125.128-01
Полухомут 30 ОСТ 24.125.128-01;7,10;opora-trub.ru ОСТ 24.125.128-01
Полухомут 31 ОСТ 24.125.128-01;12,20;opora-trub.ru ОСТ 24.125.128-01
Полухомут 32 ОСТ 24.125.128-01;12,60;opora-trub.ru ОСТ 24.125.128-01
Полухомут 33 ОСТ 24.125.128-01;14,30;opora-trub.ru ОСТ 24.125.128-01
Полухомут 34 ОСТ 24.125.128-01;15,60;opora-trub.ru ОСТ 24.125.128-01
Полухомут 35 ОСТ 24.125.128-01;28,20;opora-trub.ru ОСТ 24.125.128-01
Полухомут 36 ОСТ 24.125.128-01;29,80;opora-trub.ru ОСТ 24.125.128-01
Полухомут 37 ОСТ 24.125.128-01;31,50;opora-trub.ru ОСТ 24.125.128-01
Полухомут 38 ОСТ 24.125.128-01;44,20;opora-trub.ru ОСТ 24.125.128-01
Полухомут 39 ОСТ 24.125.128-01;33,80;opora-trub.ru ОСТ 24.125.128-01
Полухомут 40 ОСТ 24.125.128-01;47,50;opora-trub.ru ОСТ 24.125.128-01
Полухомут 41 ОСТ 24.125.128-01;78,80;opora-trub.ru ОСТ 24.125.128-01
Полухомут 42 ОСТ 24.125.128-01;85,40;opora-trub.ru ОСТ 24.125.128-01
Полухомут 43 ОСТ 24.125.128-01;92,70;opora-trub.ru ОСТ 24.125.128-01
