Название опоры;Вес, кг;Источник
Корпус 01 ОСТ 24.125.123-01;27,68;opora-trub.ru ОСТ 24.125.123-01
Корпус 02 ОСТ 24.125.123-01;29,76;opora-trub.ru ОСТ 24.125.123-01
Корпус 03 ОСТ 24.125.123-01;29,89;opora-trub.ru ОСТ 24.125.123-01
Корпус 04 ОСТ 24.125.123-01;32,94;opora-trub.ru ОСТ 24.125.123-01
Корпус 05 ОСТ 24.125.123-01;35,03;opora-trub.ru ОСТ 24.125.123-01
Корпус 06 ОСТ 24.125.123-01;38,55;opora-trub.ru ОСТ 24.125.123-01
Корпус 07 ОСТ 24.125.123-01;64,64;opora-trub.ru ОСТ 24.125.123-01
Корпус 08 ОСТ 24.125.123-01;66,58;opora-trub.ru ОСТ 24.125.123-01
Корпус 09 ОСТ 24.125.123-01;72,78;opora-trub.ru ОСТ 24.125.123-01
Корпус 10 ОСТ 24.125.123-01;84,43;opora-trub.ru ОСТ 24.125.123-01
Корпус 11 ОСТ 24.125.123-01;98,63;opora-trub.ru ОСТ 24.125.123-01
Корпус 12 ОСТ 24.125.123-01;129,07;opora-trub.ru ОСТ 24.125.123-01
Корпус 13 ОСТ 24.125.123-01;134,57;opora-trub.ru ОСТ 24.125.123-01
Корпус 14 ОСТ 24.125.123-01;27,80;opora-trub.ru ОСТ 24.125.123-01
Корпус 15 ОСТ 24.125.123-01;29,32;opora-trub.ru ОСТ 24.125.123-01
Корпус 16 ОСТ 24.125.123-01;29,42;opora-trub.ru ОСТ 24.125.123-01
Корпус 17 ОСТ 24.125.123-01;32,29;opora-trub.ru ОСТ 24.125.123-01
Корпус 18 ОСТ 24.125.123-01;34,36;opora-trub.ru ОСТ 24.125.123-01
Корпус 19 ОСТ 24.125.123-01;37,70;opora-trub.ru ОСТ 24.125.123-01
Корпус 20 ОСТ 24.125.123-01;63,44;opora-trub.ru ОСТ 24.125.123-01
Корпус 21 ОСТ 24.125.123-01;65,28;opora-trub.ru ОСТ 24.125.123-01
Корпус 22 ОСТ 24.125.123-01;71,38;opora-trub.ru ОСТ 24.125.123-01
Корпус 23 ОСТ 24.125.123-01;82,83;opora-trub.ru ОСТ 24.125.123-01
Корпус 24 ОСТ 24.125.123-01;96,33;opora-trub.ru ОСТ 24.125.123-01
Корпус 25 ОСТ 24.125.123-01;125,87;opora-trub.ru ОСТ 24.125.123-01
Корпус 26 ОСТ 24.125.123-01;131,37;opora-trub.ru ОСТ 24.125.123-01
