Название опоры;Вес, кг;Источник
Корпус 01 ОСТ 24.125.155-01;1,89;opora-trub.ru ОСТ 24.125.155-01
Корпус 02 ОСТ 24.125.155-01;2,02;opora-trub.ru ОСТ 24.125.155-01
Корпус 03 ОСТ 24.125.155-01;2,12;opora-trub.ru ОСТ 24.125.155-01
Корпус 04 ОСТ 24.125.155-01;4,18;opora-trub.ru ОСТ 24.125.155-01
Корпус 05 ОСТ 24.125.155-01;4,31;opora-trub.ru ОСТ 24.125.155-01
Корпус 06 ОСТ 24.125.155-01;7,36;opora-trub.ru ОСТ 24.125.155-01
Корпус 07 ОСТ 24.125.155-01;7,53;opora-trub.ru ОСТ 24.125.155-01
Корпус 08 ОСТ 24.125.155-01;11,01;opora-trub.ru ОСТ 24.125.155-01
Корпус 09 ОСТ 24.125.155-01;17,24;opora-trub.ru ОСТ 24.125.155-01
Корпус 10 ОСТ 24.125.155-01;19,18;opora-trub.ru ОСТ 24.125.155-01
Корпус 11 ОСТ 24.125.155-01;25,38;opora-trub.ru ОСТ 24.125.155-01
Корпус 12 ОСТ 24.125.155-01;29,87;opora-trub.ru ОСТ 24.125.155-01
Корпус 13 ОСТ 24.125.155-01;43,87;opora-trub.ru ОСТ 24.125.155-01
Корпус 14 ОСТ 24.125.155-01;49,97;opora-trub.ru ОСТ 24.125.155-01
Корпус 15 ОСТ 24.125.155-01;55,47;opora-trub.ru ОСТ 24.125.155-01
Корпус 16 ОСТ 24.125.155-01;2,03;opora-trub.ru ОСТ 24.125.155-01
Корпус 17 ОСТ 24.125.155-01;2,17;opora-trub.ru ОСТ 24.125.155-01
Корпус 18 ОСТ 24.125.155-01;2,24;opora-trub.ru ОСТ 24.125.155-01
Корпус 19 ОСТ 24.125.155-01;3,74;opora-trub.ru ОСТ 24.125.155-01
Корпус 20 ОСТ 24.125.155-01;3,84;opora-trub.ru ОСТ 24.125.155-01
Корпус 21 ОСТ 24.125.155-01;6,71;opora-trub.ru ОСТ 24.125.155-01
Корпус 22 ОСТ 24.125.155-01;6,86;opora-trub.ru ОСТ 24.125.155-01
Корпус 23 ОСТ 24.125.155-01;10,16;opora-trub.ru ОСТ 24.125.155-01
Корпус 24 ОСТ 24.125.155-01;16,08;opora-trub.ru ОСТ 24.125.155-01
Корпус 25 ОСТ 24.125.155-01;17,88;opora-trub.ru ОСТ 24.125.155-01
Корпус 26 ОСТ 24.125.155-01;23,98;opora-trub.ru ОСТ 24.125.155-01
Корпус 27 ОСТ 24.125.155-01;28,27;opora-trub.ru ОСТ 24.125.155-01
Корпус 28 ОСТ 24.125.155-01;41,57;opora-trub.ru ОСТ 24.125.155-01
Корпус 29 ОСТ 24.125.155-01;46,77;opora-trub.ru ОСТ 24.125.155-01
Корпус 30 ОСТ 24.125.155-01;52,27;opora-trub.ru ОСТ 24.125.155-01
