Название опоры;Вес, кг;Источник
Балка 01 ОСТ 24.125.121-01;14,34;opora-trub.ru ОСТ 24.125.121-01
Балка 02 ОСТ 24.125.121-01;24,53;opora-trub.ru ОСТ 24.125.121-01
Балка 03 ОСТ 24.125.121-01;36,12;opora-trub.ru ОСТ 24.125.121-01
Балка 04 ОСТ 24.125.121-01;49,70;opora-trub.ru ОСТ 24.125.121-01
Балка 05 ОСТ 24.125.121-01;58,30;opora-trub.ru ОСТ 24.125.121-01
Балка 06 ОСТ 24.125.121-01;77,20;opora-trub.ru ОСТ 24.125.121-01
Балка 07 ОСТ 24.125.121-01;120,70;opora-trub.ru ОСТ 24.125.121-01
Балка 08 ОСТ 24.125.121-01;133,40;opora-trub.ru ОСТ 24.125.121-01
Балка 09 ОСТ 24.125.121-01;146,10;opora-trub.ru ОСТ 24.125.121-01
