Название опоры;Вес, кг;Источник
89У-01;1,0;ОПОРЫ-ЛЭП ОСТ 34-10-615-93
89К-02;1,0;ОПОРЫ-ЛЭП ОСТ 34-10-615-93
108У-03;1,1;ОПОРЫ-ЛЭП ОСТ 34-10-615-93
108К-04;1,1;ОПОРЫ-ЛЭП ОСТ 34-10-615-93
133У-05;1,2;ОПОРЫ-ЛЭП ОСТ 34-10-615-93
133К-06;1,2;ОПОРЫ-ЛЭП ОСТ 34-10-615-93
159У-07;1,3;ОПОРЫ-ЛЭП ОСТ 34-10-615-93
159К-08;1,3;ОПОРЫ-ЛЭП ОСТ 34-10-615-93
219У-09;3,2;ОПОРЫ-ЛЭП ОСТ 34-10-615-93
219К-10;3,2;ОПОРЫ-ЛЭП ОСТ 34-10-615-93
273У-11;4,8;ОПОРЫ-ЛЭП ОСТ 34-10-615-93
273К-12;4,8;ОПОРЫ-ЛЭП ОСТ 34-10-615-93
325У-13;5,9;ОПОРЫ-ЛЭП ОСТ 34-10-615-93
325К-14;5,9;ОПОРЫ-ЛЭП ОСТ 34-10-615-93
377У-15;7,2;ОПОРЫ-ЛЭП ОСТ 34-10-615-93
377К-16;7,2;ОПОРЫ-ЛЭП ОСТ 34-10-615-93
426У-17;12,2;ОПОРЫ-ЛЭП ОСТ 34-10-615-93
426К-18;12,2;ОПОРЫ-ЛЭП ОСТ 34-10-615-93
478У-19;13,7;ОПОРЫ-ЛЭП ОСТ 34-10-615-93
478К-20;13,7;ОПОРЫ-ЛЭП ОСТ 34-10-615-93
530У-21;13,4;ОПОРЫ-ЛЭП ОСТ 34-10-615-93
530К-22;13,4;ОПОРЫ-ЛЭП ОСТ 34-10-615-93
630У-23;17,8;ОПОРЫ-ЛЭП ОСТ 34-10-615-93
630К-24;17,8;ОПОРЫ-ЛЭП ОСТ 34-10-615-93
720У-25;27,1;ОПОРЫ-ЛЭП ОСТ 34-10-615-93
720К-26;27,1;ОПОРЫ-ЛЭП ОСТ 34-10-615-93
820У-27;39,7;ОПОРЫ-ЛЭП ОСТ 34-10-615-93
820К-28;39,7;ОПОРЫ-ЛЭП ОСТ 34-10-615-93
920У-29;47,2;ОПОРЫ-ЛЭП ОСТ 34-10-615-93
920К-30;47,2;ОПОРЫ-ЛЭП ОСТ 34-10-615-93
1020У-31;49,4;ОПОРЫ-ЛЭП ОСТ 34-10-615-93
1020К-32;49,4;ОПОРЫ-ЛЭП ОСТ 34-10-615-93
1220У-33;70,4;ОПОРЫ-ЛЭП ОСТ 34-10-615-93
1220К-34;70,4;ОПОРЫ-ЛЭП ОСТ 34-10-615-93
1420У-35;73,4;ОПОРЫ-ЛЭП ОСТ 34-10-615-93
1420К-36;73,4;ОПОРЫ-ЛЭП ОСТ 34-10-615-93
1620У-37;84,3;ОПОРЫ-ЛЭП ОСТ 34-10-615-93
1620К-38;84,3;ОПОРЫ-ЛЭП ОСТ 34-10-615-93
Опора 89 У 01 ОСТ 34-10-615-93;1,0;то же 89У-01
Опора 630 У 23 ОСТ 34-10-615;17,8;то же 630У-23
Опора 630 У 23 ОСТ 34-10-615;17,8;ОПОРЫ-ЛЭП ОСТ 34-10-615
89К 02 ост 34.10.615;1,0;то же 89К-02
