Название опоры;Вес, кг;Источник
Опора 01 ОСТ 24.125.151-01;2,04;opora-trub.ru ОСТ 24.125.151-01
Опора 02 ОСТ 24.125.151-01;2,22;opora-trub.ru ОСТ 24.125.151-01
Опора 03 ОСТ 24.125.151-01;4,56;opora-trub.ru ОСТ 24.125.151-01
Опора 04 ОСТ 24.125.151-01;6,12;opora-trub.ru ОСТ 24.125.151-01
Опора 05 ОСТ 24.125.151-01;6,52;opora-trub.ru ОСТ 24.125.151-01
Опора 06 ОСТ 24.125.151-01;22,60;opora-trub.ru ОСТ 24.125.151-01
Опора 07 ОСТ 24.125.151-01;24,30;opora-trub.ru ОСТ 24.125.151-01
Опора 08 ОСТ 24.125.151-01;33,70;opora-trub.ru ОСТ 24.125.151-01
Опора 09 ОСТ 24.125.151-01;33,00;opora-trub.ru ОСТ 24.125.151-01
Опора 10 ОСТ 24.125.151-01;51,10;opora-trub.ru ОСТ 24.125.151-01
Опора 11 ОСТ 24.125.151-01;75,54;opora-trub.ru ОСТ 24.125.151-01
Опора 12 ОСТ 24.125.151-01;88,90;opora-trub.ru ОСТ 24.125.151-01
Опора 13 ОСТ 24.125.151-01;101,10;opora-trub.ru ОСТ 24.125.151-01
Опора 14 ОСТ 24.125.151-01;126,30;opora-trub.ru ОСТ 24.125.151-01
Опора 15 ОСТ 24.125.151-01;193,50;opora-trub.ru ОСТ 24.125.151-01
Опора 16 ОСТ 24.125.151-01;225,20;opora-trub.ru ОСТ 24.125.151-01
Опора 17 ОСТ 24.125.151-01;270,30;opora-trub.ru ОСТ 24.125.151-01
Опора 18 ОСТ 24.125.151-01;1,45;opora-trub.ru ОСТ 24.125.151-01
Опора 19 ОСТ 24.125.151-01;1,63;opora-trub.ru ОСТ 24.125.151-01
Опора 20 ОСТ 24.125.151-01;2,88;opora-trub.ru ОСТ 24.125.151-01
Опора 21 ОСТ 24.125.151-01;5,18;opora-trub.ru ОСТ 24.125.151-01
Опора 22 ОСТ 24.125.151-01;6,92;opora-trub.ru ОСТ 24.125.151-01
Опора 23 ОСТ 24.125.151-01;6,70;opora-trub.ru ОСТ 24.125.151-01
Опора 24 ОСТ 24.125.151-01;19,48;opora-trub.ru ОСТ 24.125.151-01
Опора 25 ОСТ 24.125.151-01;18,88;opora-trub.ru ОСТ 24.125.151-01
Опора 26 ОСТ 24.125.151-01;29,70;opora-trub.ru ОСТ 24.125.151-01
Опора 27 ОСТ 24.125.151-01;31,98;opora-trub.ru ОСТ 24.125.151-01
Опора 28 ОСТ 24.125.151-01;43,48;opora-trub.ru ОСТ 24.125.151-01
Опора 29 ОСТ 24.125.151-01;69,57;opora-trub.ru ОСТ 24.125.151-01
Опора 30 ОСТ 24.125.151-01;80,47;opora-trub.ru ОСТ 24.125.151-01
Опора 31 ОСТ 24.125.151-01;94,38;opora-trub.ru ОСТ 24.125.151-01
Опора 32 ОСТ 24.125.151-01;124,84;opora-trub.ru ОСТ 24.125.151-01
Опора 33 ОСТ 24.125.151-01;171,60;opora-trub.ru ОСТ 24.125.151-01
Опора 34 ОСТ 24.125.151-01;206,60;opora-trub.ru ОСТ 24.125.151-01
Опора 35 ОСТ 24.125.151-01;239,10;opora-trub.ru ОСТ 24.125.151-01
Опора 36 ОСТ 24.125.151-01;1,45;opora-trub.ru ОСТ 24.125.151-01
Опора 37 ОСТ 24.125.151-01;1,57;opora-trub.ru ОСТ 24.125.151-01
Опора 38 ОСТ 24.125.151-01;2,92;opora-trub.ru ОСТ 24.125.151-01
Опора 39 ОСТ 24.125.151-01;5,22;opora-trub.ru ОСТ 24.125.151-01
Опора 40 ОСТ 24.125.151-01;6,16;opora-trub.ru ОСТ 24.125.151-01
Опора 41 ОСТ 24.125.151-01;6,94;opora-trub.ru ОСТ 24.125.151-01
Опора 42 ОСТ 24.125.151-01;19,56;opora-trub.ru ОСТ 24.125.151-01
Опора 43 ОСТ 24.125.151-01;29,68;opora-trub.ru ОСТ 24.125.151-01
Опора 44 ОСТ 24.125.151-01;29,98;opora-trub.ru ОСТ 24.125.151-01
Опора 45 ОСТ 24.125.151-01;42,68;opora-trub.ru ОСТ 24.125.151-01
