Название опоры;Вес, кг;Источник
Опора 01 ОСТ 24.125.159-01;33,90;opora-trub.ru ОСТ 24.125.159-01
Опора 02 ОСТ 24.125.159-01;34,18;opora-trub.ru ОСТ 24.125.159-01
Опора 03 ОСТ 24.125.159-01;38,71;opora-trub.ru ОСТ 24.125.159-01
Опора 04 ОСТ 24.125.159-01;39,05;opora-trub.ru ОСТ 24.125.159-01
Опора 05 ОСТ 24.125.159-01;43,50;opora-trub.ru ОСТ 24.125.159-01
Опора 06 ОСТ 24.125.159-01;53,28;opora-trub.ru ОСТ 24.125.159-01
Опора 07 ОСТ 24.125.159-01;70,36;opora-trub.ru ОСТ 24.125.159-01
Опора 08 ОСТ 24.125.159-01;79,36;opora-trub.ru ОСТ 24.125.159-01
Опора 09 ОСТ 24.125.159-01;85,54;opora-trub.ru ОСТ 24.125.159-01
Опора 10 ОСТ 24.125.159-01;108,94;opora-trub.ru ОСТ 24.125.159-01
Опора 11 ОСТ 24.125.159-01;54,96;opora-trub.ru ОСТ 24.125.159-01
Опора 12 ОСТ 24.125.159-01;55,22;opora-trub.ru ОСТ 24.125.159-01
Опора 13 ОСТ 24.125.159-01;59,75;opora-trub.ru ОСТ 24.125.159-01
Опора 14 ОСТ 24.125.159-01;60,09;opora-trub.ru ОСТ 24.125.159-01
Опора 15 ОСТ 24.125.159-01;64,54;opora-trub.ru ОСТ 24.125.159-01
Опора 16 ОСТ 24.125.159-01;74,32;opora-trub.ru ОСТ 24.125.159-01
Опора 17 ОСТ 24.125.159-01;114,50;opora-trub.ru ОСТ 24.125.159-01
Опора 18 ОСТ 24.125.159-01;123,50;opora-trub.ru ОСТ 24.125.159-01
Опора 19 ОСТ 24.125.159-01;129,68;opora-trub.ru ОСТ 24.125.159-01
Опора 20 ОСТ 24.125.159-01;153,08;opora-trub.ru ОСТ 24.125.159-01
Опора 21 ОСТ 24.125.159-01;33,28;opora-trub.ru ОСТ 24.125.159-01
Опора 22 ОСТ 24.125.159-01;33,48;opora-trub.ru ОСТ 24.125.159-01
Опора 23 ОСТ 24.125.159-01;37,84;opora-trub.ru ОСТ 24.125.159-01
Опора 24 ОСТ 24.125.159-01;38,14;opora-trub.ru ОСТ 24.125.159-01
Опора 25 ОСТ 24.125.159-01;42,33;opora-trub.ru ОСТ 24.125.159-01
Опора 26 ОСТ 24.125.159-01;51,68;opora-trub.ru ОСТ 24.125.159-01
Опора 27 ОСТ 24.125.159-01;68,50;opora-trub.ru ОСТ 24.125.159-01
Опора 28 ОСТ 24.125.159-01;77,54;opora-trub.ru ОСТ 24.125.159-01
Опора 29 ОСТ 24.125.159-01;83,52;opora-trub.ru ОСТ 24.125.159-01
Опора 30 ОСТ 24.125.159-01;105,80;opora-trub.ru ОСТ 24.125.159-01
Опора 31 ОСТ 24.125.159-01;148,53;opora-trub.ru ОСТ 24.125.159-01
Опора 32 ОСТ 24.125.159-01;54,32;opora-trub.ru ОСТ 24.125.159-01
Опора 33 ОСТ 24.125.159-01;54,52;opora-trub.ru ОСТ 24.125.159-01
Опора 34 ОСТ 24.125.159-01;58,88;opora-trub.ru ОСТ 24.125.159-01
Опора 35 ОСТ 24.125.159-01;59,18;opora-trub.ru ОСТ 24.125.159-01
Опора 36 ОСТ 24.125.159-01;63,37;opora-trub.ru ОСТ 24.125.159-01
Опора 37 ОСТ 24.125.159-01;72,72;opora-trub.ru ОСТ 24.125.159-01
Опора 38 ОСТ 24.125.159-01;112,64;opora-trub.ru ОСТ 24.125.159-01
Опора 39 ОСТ 24.125.159-01;121,68;opora-trub.ru ОСТ 24.125.159-01
Опора 40 ОСТ 24.125.159-01;127,66;opora-trub.ru ОСТ 24.125.159-01
Опора 41 ОСТ 24.125.159-01;149,94;opora-trub.ru ОСТ 24.125.159-01
Опора 42 ОСТ 24.125.159-01;34,80;opora-trub.ru ОСТ 24.125.159-01
Опора 43 ОСТ 24.125.159-01;38,30;opora-trub.ru ОСТ 24.125.159-01
Опора 44 ОСТ 24.125.159-01;38,70;opora-trub.ru ОСТ 24.125.159-01
Опора 45 ОСТ 24.125.159-01;43,20;opora-trub.ru ОСТ 24.125.159-01
Опора 46 ОСТ 24.125.159-01;54,86;opora-trub.ru ОСТ 24.125.159-01
Опора 47 ОСТ 24.125.159-01;59,38;opora-trub.ru ОСТ 24.125.159-01
Опора 48 ОСТ 24.125.159-01;59,79;opora-trub.ru ОСТ 24.125.159-01
Опора 49 ОСТ 24.125.159-01;64,24;opora-trub.ru ОСТ 24.125.159-01
