Название опоры;Вес, кг;Источник
Хомут 01 ОСТ 24.125.117-01;17,16;opora-trub.ru ОСТ 24.125.117-01
Хомут 02 ОСТ 24.125.117-01;18,34;opora-trub.ru ОСТ 24.125.117-01
Хомут 03 ОСТ 24.125.117-01;20,56;opora-trub.ru ОСТ 24.125.117-01
Хомут 04 ОСТ 24.125.117-01;21,86;opora-trub.ru ОСТ 24.125.117-01
Хомут 05 ОСТ 24.125.117-01;24,35;opora-trub.ru ОСТ 24.125.117-01
Хомут 06 ОСТ 24.125.117-01;25,55;opora-trub.ru ОСТ 24.125.117-01
Хомут 07 ОСТ 24.125.117-01;30,05;opora-trub.ru ОСТ 24.125.117-01
Хомут 08 ОСТ 24.125.117-01;34,48;opora-trub.ru ОСТ 24.125.117-01
Хомут 09 ОСТ 24.125.117-01;40,78;opora-trub.ru ОСТ 24.125.117-01
