Название опоры;Вес, кг;Источник
Блок пружинный сборный  17 ОСТ 108.275.58-80;21,4;zavodopora ОСТ 108.275.58-80
Блок пружинный сборный  17 ОСТ 108.275.58-80;21,4;opora-trub.ru ОСТ 108.275.58-80
Блок пружинный сборный  04 ОСТ 108.275.58-80;15;ОСТ 108.275.58-80 блок 04
Блок пружинный сборный  04 ОСТ 108.275.58-80;15;oboronmet-85 ОСТ 108.275.58-80
Блок пружинный сборный  03 ОСТ 108.275.58-80 ПВ;13,9;ОСТ 108.275.58-80
Блок пружинный сборный  03 ОСТ 108.275.58-80;13,9;opora-trub.ru ОСТ 108.275.58-80
17;21,4;ОСТ 108.275.58-80
04;15;ОСТ 108.275.58-80
03;13,9;ОСТ 108.275.58-80
