Название опоры;Вес, кг;Источник
Блок пружинный подвесной 01 ОСТ 24.125.111-01;7,70;opora-trub.ru ОСТ 24.125.111-01
Блок пружинный подвесной 02 ОСТ 24.125.111-01;8,60;opora-trub.ru ОСТ 24.125.111-01
Блок пружинный подвесной 03 ОСТ 24.125.111-01;16,50;opora-trub.ru ОСТ 24.125.111-01
Блок пружинный подвесной 04 ОСТ 24.125.111-01;18,40;opora-trub.ru ОСТ 24.125.111-01
Блок пружинный подвесной 05 ОСТ 24.125.111-01;21,30;opora-trub.ru ОСТ 24.125.111-01
Блок пружинный подвесной 06 ОСТ 24.125.111-01;25,30;opora-trub.ru ОСТ 24.125.111-01
Блок пружинный подвесной 07 ОСТ 24.125.111-01;29,50;opora-trub.ru ОСТ 24.125.111-01
Блок пружинный подвесной 08 ОСТ 24.125.111-01;44,90;opora-trub.ru ОСТ 24.125.111-01
Блок пружинный подвесной 09 ОСТ 24.125.111-01;62,10;opora-trub.ru ОСТ 24.125.111-01
Блок пружинный подвесной 10 ОСТ 24.125.111-01;74,40;opora-trub.ru ОСТ 24.125.111-01
Блок пружинный подвесной 11 ОСТ 24.125.111-01;80,30;opora-trub.ru ОСТ 24.125.111-01
Блок пружинный подвесной 12 ОСТ 24.125.111-01;108,20;opora-trub.ru ОСТ 24.125.111-01
Блок пружинный подвесной 21 ОСТ 24.125.111-01;5,60;opora-trub.ru ОСТ 24.125.111-01
Блок пружинный подвесной 22 ОСТ 24.125.111-01;6,10;opora-trub.ru ОСТ 24.125.111-01
Блок пружинный подвесной 23 ОСТ 24.125.111-01;11,70;opora-trub.ru ОСТ 24.125.111-01
Блок пружинный подвесной 24 ОСТ 24.125.111-01;12,70;opora-trub.ru ОСТ 24.125.111-01
Блок пружинный подвесной 25 ОСТ 24.125.111-01;14,60;opora-trub.ru ОСТ 24.125.111-01
Блок пружинный подвесной 26 ОСТ 24.125.111-01;17,50;opora-trub.ru ОСТ 24.125.111-01
Блок пружинный подвесной 27 ОСТ 24.125.111-01;19,80;opora-trub.ru ОСТ 24.125.111-01
Блок пружинный подвесной 28 ОСТ 24.125.111-01;33,50;opora-trub.ru ОСТ 24.125.111-01
Блок пружинный подвесной 29 ОСТ 24.125.111-01;41,80;opora-trub.ru ОСТ 24.125.111-01
Блок пружинный подвесной 30 ОСТ 24.125.111-01;51,30;opora-trub.ru ОСТ 24.125.111-01
Блок пружинный подвесной 31 ОСТ 24.125.111-01;55,70;opora-trub.ru ОСТ 24.125.111-01
Блок пружинный подвесной 32 ОСТ 24.125.111-01;76,90;opora-trub.ru ОСТ 24.125.111-01
