Название опоры;Вес, кг;Источник
Блок пружинный опорный 01 ОСТ 24.125.112-01;7,70;opora-trub.ru ОСТ 24.125.112-01
Блок пружинный опорный 02 ОСТ 24.125.112-01;8,50;opora-trub.ru ОСТ 24.125.112-01
Блок пружинный опорный 03 ОСТ 24.125.112-01;16,40;opora-trub.ru ОСТ 24.125.112-01
Блок пружинный опорный 04 ОСТ 24.125.112-01;18,30;opora-trub.ru ОСТ 24.125.112-01
Блок пружинный опорный 05 ОСТ 24.125.112-01;21,10;opora-trub.ru ОСТ 24.125.112-01
Блок пружинный опорный 06 ОСТ 24.125.112-01;23,80;opora-trub.ru ОСТ 24.125.112-01
Блок пружинный опорный 07 ОСТ 24.125.112-01;29,40;opora-trub.ru ОСТ 24.125.112-01
Блок пружинный опорный 08 ОСТ 24.125.112-01;44,50;opora-trub.ru ОСТ 24.125.112-01
Блок пружинный опорный 09 ОСТ 24.125.112-01;61,60;opora-trub.ru ОСТ 24.125.112-01
Блок пружинный опорный 10 ОСТ 24.125.112-01;73,90;opora-trub.ru ОСТ 24.125.112-01
Блок пружинный опорный 11 ОСТ 24.125.112-01;81,00;opora-trub.ru ОСТ 24.125.112-01
Блок пружинный опорный 12 ОСТ 24.125.112-01;107,60;opora-trub.ru ОСТ 24.125.112-01
Блок пружинный опорный 21 ОСТ 24.125.112-01;5,50;opora-trub.ru ОСТ 24.125.112-01
Блок пружинный опорный 22 ОСТ 24.125.112-01;6,00;opora-trub.ru ОСТ 24.125.112-01
Блок пружинный опорный 23 ОСТ 24.125.112-01;11,60;opora-trub.ru ОСТ 24.125.112-01
Блок пружинный опорный 24 ОСТ 24.125.112-01;12,60;opora-trub.ru ОСТ 24.125.112-01
Блок пружинный опорный 25 ОСТ 24.125.112-01;14,30;opora-trub.ru ОСТ 24.125.112-01
Блок пружинный опорный 26 ОСТ 24.125.112-01;17,50;opora-trub.ru ОСТ 24.125.112-01
Блок пружинный опорный 27 ОСТ 24.125.112-01;19,80;opora-trub.ru ОСТ 24.125.112-01
Блок пружинный опорный 28 ОСТ 24.125.112-01;33,00;opora-trub.ru ОСТ 24.125.112-01
Блок пружинный опорный 29 ОСТ 24.125.112-01;41,10;opora-trub.ru ОСТ 24.125.112-01
Блок пружинный опорный 30 ОСТ 24.125.112-01;51,00;opora-trub.ru ОСТ 24.125.112-01
Блок пружинный опорный 31 ОСТ 24.125.112-01;55,40;opora-trub.ru ОСТ 24.125.112-01
Блок пружинный опорный 32 ОСТ 24.125.112-01;76,30;opora-trub.ru ОСТ 24.125.112-01
