Название опоры;Вес, кг;Источник
Полухомут 01 ОСТ 24.125.120-01;0,40;opora-trub.ru ОСТ 24.125.120-01
Полухомут 02 ОСТ 24.125.120-01;0,47;opora-trub.ru ОСТ 24.125.120-01
Полухомут 03 ОСТ 24.125.120-01;0,57;opora-trub.ru ОСТ 24.125.120-01
Полухомут 04 ОСТ 24.125.120-01;0,87;opora-trub.ru ОСТ 24.125.120-01
Полухомут 05 ОСТ 24.125.120-01;0,70;opora-trub.ru ОСТ 24.125.120-01
Полухомут 06 ОСТ 24.125.120-01;1,07;opora-trub.ru ОСТ 24.125.120-01
Полухомут 07 ОСТ 24.125.120-01;0,80;opora-trub.ru ОСТ 24.125.120-01
Полухомут 08 ОСТ 24.125.120-01;1,21;opora-trub.ru ОСТ 24.125.120-01
Полухомут 09 ОСТ 24.125.120-01;1,54;opora-trub.ru ОСТ 24.125.120-01
Полухомут 10 ОСТ 24.125.120-01;1,67;opora-trub.ru ОСТ 24.125.120-01
Полухомут 11 ОСТ 24.125.120-01;0,26;opora-trub.ru ОСТ 24.125.120-01
Полухомут 12 ОСТ 24.125.120-01;0,31;opora-trub.ru ОСТ 24.125.120-01
Полухомут 13 ОСТ 24.125.120-01;0,55;opora-trub.ru ОСТ 24.125.120-01
Полухомут 14 ОСТ 24.125.120-01;0,61;opora-trub.ru ОСТ 24.125.120-01
Полухомут 15 ОСТ 24.125.120-01;1,10;opora-trub.ru ОСТ 24.125.120-01
Полухомут 16 ОСТ 24.125.120-01;0,75;opora-trub.ru ОСТ 24.125.120-01
Полухомут 17 ОСТ 24.125.120-01;1,27;opora-trub.ru ОСТ 24.125.120-01
Полухомут 18 ОСТ 24.125.120-01;0,82;opora-trub.ru ОСТ 24.125.120-01
Полухомут 19 ОСТ 24.125.120-01;1,48;opora-trub.ru ОСТ 24.125.120-01
Полухомут 20 ОСТ 24.125.120-01;1,30;opora-trub.ru ОСТ 24.125.120-01
Полухомут 21 ОСТ 24.125.120-01;1,40;opora-trub.ru ОСТ 24.125.120-01
Полухомут 22 ОСТ 24.125.120-01;2,56;opora-trub.ru ОСТ 24.125.120-01
Полухомут 23 ОСТ 24.125.120-01;2,73;opora-trub.ru ОСТ 24.125.120-01
Полухомут 24 ОСТ 24.125.120-01;3,61;opora-trub.ru ОСТ 24.125.120-01
Полухомут 25 ОСТ 24.125.120-01;5,74;opora-trub.ru ОСТ 24.125.120-01
Полухомут 26 ОСТ 24.125.120-01;7,28;opora-trub.ru ОСТ 24.125.120-01
Полухомут 27 ОСТ 24.125.120-01;9,98;opora-trub.ru ОСТ 24.125.120-01
Полухомут 28 ОСТ 24.125.120-01;11,67;opora-trub.ru ОСТ 24.125.120-01
Полухомут 29 ОСТ 24.125.120-01;17,97;opora-trub.ru ОСТ 24.125.120-01
Полухомут 30 ОСТ 24.125.120-01;20,07;opora-trub.ru ОСТ 24.125.120-01
Полухомут 31 ОСТ 24.125.120-01;24,37;opora-trub.ru ОСТ 24.125.120-01
Полухомут 32 ОСТ 24.125.120-01;2,31;opora-trub.ru ОСТ 24.125.120-01
Полухомут 33 ОСТ 24.125.120-01;2,46;opora-trub.ru ОСТ 24.125.120-01
Полухомут 34 ОСТ 24.125.120-01;3,36;opora-trub.ru ОСТ 24.125.120-01
Полухомут 35 ОСТ 24.125.120-01;5,28;opora-trub.ru ОСТ 24.125.120-01
Полухомут 36 ОСТ 24.125.120-01;6,68;opora-trub.ru ОСТ 24.125.120-01
Полухомут 37 ОСТ 24.125.120-01;9,48;opora-trub.ru ОСТ 24.125.120-01
Полухомут 38 ОСТ 24.125.120-01;11,17;opora-trub.ru ОСТ 24.125.120-01
Полухомут 39 ОСТ 24.125.120-01;17,07;opora-trub.ru ОСТ 24.125.120-01
Полухомут 40 ОСТ 24.125.120-01;19,07;opora-trub.ru ОСТ 24.125.120-01
Полухомут 41 ОСТ 24.125.120-01;21,97;opora-trub.ru ОСТ 24.125.120-01
