Название опоры;Вес, кг;Источник
57У-01;2,3;ОПОРЫ-ЛЭП ОСТ 34-10-623-93
57К-02;2,3;ОПОРЫ-ЛЭП ОСТ 34-10-623-93
76У-03;2,8;ОПОРЫ-ЛЭП ОСТ 34-10-623-93
76К-04;2,8;ОПОРЫ-ЛЭП ОСТ 34-10-623-93
89У-05;2,8;ОПОРЫ-ЛЭП ОСТ 34-10-623-93
89К-06;2,8;ОПОРЫ-ЛЭП ОСТ 34-10-623-93
108У-07;4,4;ОПОРЫ-ЛЭП ОСТ 34-10-623-93
108К-08;4,4;ОПОРЫ-ЛЭП ОСТ 34-10-623-93
108У-09;4,9;ОПОРЫ-ЛЭП ОСТ 34-10-623-93
108К-10;5,0;ОПОРЫ-ЛЭП ОСТ 34-10-623-93
133У-11;4,3;ОПОРЫ-ЛЭП ОСТ 34-10-623-93
133К-12;4,3;ОПОРЫ-ЛЭП ОСТ 34-10-623-93
133У-13;4,9;ОПОРЫ-ЛЭП ОСТ 34-10-623-93
133К-14;4,9;ОПОРЫ-ЛЭП ОСТ 34-10-623-93
159У-15;5,0;ОПОРЫ-ЛЭП ОСТ 34-10-623-93
159К-16;5,0;ОПОРЫ-ЛЭП ОСТ 34-10-623-93
159У-17;5,6;ОПОРЫ-ЛЭП ОСТ 34-10-623-93
159К-18;5,6;ОПОРЫ-ЛЭП ОСТ 34-10-623-93
219У-19;10,8;ОПОРЫ-ЛЭП ОСТ 34-10-623-93
219К-20;10,9;ОПОРЫ-ЛЭП ОСТ 34-10-623-93
219У-21;12,1;ОПОРЫ-ЛЭП ОСТ 34-10-623-93
219К-22;12,3;ОПОРЫ-ЛЭП ОСТ 34-10-623-93
273У-23;11,1;ОПОРЫ-ЛЭП ОСТ 34-10-623-93
273К-24;11,2;ОПОРЫ-ЛЭП ОСТ 34-10-623-93
273У-25;12,5;ОПОРЫ-ЛЭП ОСТ 34-10-623-93
273К-26;12,6;ОПОРЫ-ЛЭП ОСТ 34-10-623-93
325У-27;21,7;ОПОРЫ-ЛЭП ОСТ 34-10-623-93
325К-28;21,7;ОПОРЫ-ЛЭП ОСТ 34-10-623-93
325У-29;23,8;ОПОРЫ-ЛЭП ОСТ 34-10-623-93
325К-30;23,8;ОПОРЫ-ЛЭП ОСТ 34-10-623-93
377У-31;21,8;ОПОРЫ-ЛЭП ОСТ 34-10-623-93
377К-32;21,8;ОПОРЫ-ЛЭП ОСТ 34-10-623-93
377У-33;23,5;ОПОРЫ-ЛЭП ОСТ 34-10-623-93
377К-34;23,6;ОПОРЫ-ЛЭП ОСТ 34-10-623-93
426У-35;37,6;ОПОРЫ-ЛЭП ОСТ 34-10-623-93
426К-36;37,6;ОПОРЫ-ЛЭП ОСТ 34-10-623-93
426У-37;40,6;ОПОРЫ-ЛЭП ОСТ 34-10-623-93
426К-38;40,6;ОПОРЫ-ЛЭП ОСТ 34-10-623-93
478У-39;37,5;ОПОРЫ-ЛЭП ОСТ 34-10-623-93
478У-41;41,2;ОПОРЫ-ЛЭП ОСТ 34-10-623-93
530У-43;37,2;ОПОРЫ-ЛЭП ОСТ 34-10-623-93
530К-44;37,2;ОПОРЫ-ЛЭП ОСТ 34-10-623-93
530У-45;40,9;ОПОРЫ-ЛЭП ОСТ 34-10-623-93
530К-46;40,9;ОПОРЫ-ЛЭП ОСТ 34-10-623-93
630У-47;64,3;ОПОРЫ-ЛЭП ОСТ 34-10-623-93
630К-48;64,3;ОПОРЫ-ЛЭП ОСТ 34-10-623-93
630У-49;67,7;ОПОРЫ-ЛЭП ОСТ 34-10-623-93
630К-50;67,7;ОПОРЫ-ЛЭП ОСТ 34-10-623-93
720У-51;78,1;ОПОРЫ-ЛЭП ОСТ 34-10-623-93
720К-52;78,1;ОПОРЫ-ЛЭП ОСТ 34-10-623-93
720У-53;83,7;ОПОРЫ-ЛЭП ОСТ 34-10-623-93
720К-54;83,7;ОПОРЫ-ЛЭП ОСТ 34-10-623-93
820У-55;75,8;ОПОРЫ-ЛЭП ОСТ 34-10-623-93
820К-56;75,8;ОПОРЫ-ЛЭП ОСТ 34-10-623-93
820У-57;81,4;ОПОРЫ-ЛЭП ОСТ 34-10-623-93
820К-58;81,4;ОПОРЫ-ЛЭП ОСТ 34-10-623-93
920У-59;101,0;ОПОРЫ-ЛЭП ОСТ 34-10-623-93
920К-60;101,0;ОПОРЫ-ЛЭП ОСТ 34-10-623-93
920У-61;108,7;ОПОРЫ-ЛЭП ОСТ 34-10-623-93
920К-62;108,7;ОПОРЫ-ЛЭП ОСТ 34-10-623-93
1020У-63;99,0;ОПОРЫ-ЛЭП ОСТ 34-10-623-93
1020К-64;99,0;ОПОРЫ-ЛЭП ОСТ 34-10-623-93
1020У-65;107,0;ОПОРЫ-ЛЭП ОСТ 34-10-623-93
1020К-66;107,0;ОПОРЫ-ЛЭП ОСТ 34-10-623-93
1220У-67;136,0;ОПОРЫ-ЛЭП ОСТ 34-10-623-93
1220К-68;136,0;ОПОРЫ-ЛЭП ОСТ 34-10-623-93
1220У-69;146,0;ОПОРЫ-ЛЭП ОСТ 34-10-623-93
1220К-70;146,0;ОПОРЫ-ЛЭП ОСТ 34-10-623-93
1420У-71;134,0;ОПОРЫ-ЛЭП ОСТ 34-10-623-93
1420К-72;134,0;ОПОРЫ-ЛЭП ОСТ 34-10-623-93
1420У-73;143,0;ОПОРЫ-ЛЭП ОСТ 34-10-623-93
1420К-74;143,0;ОПОРЫ-ЛЭП ОСТ 34-10-623-93
1620У-75;169,0;ОПОРЫ-ЛЭП ОСТ 34-10-623-93
1620К-76;169,0;ОПОРЫ-ЛЭП ОСТ 34-10-623-93
1620У-77;175,0;ОПОРЫ-ЛЭП ОСТ 34-10-623-93
1620К-78;175,0;ОПОРЫ-ЛЭП ОСТ 34-10-623-93
108К-86;5,0;ОПОРЫ-ЛЭП ОСТ 34-10-623-93 (awstroy.ru, ОПОРЫ-ЛЭП.РФ)
