Название опоры;Вес, кг;Источник
Муфта соединительная 01 ОСТ 24.125.106-01;0,08;opora-trub.ru ОСТ 24.125.106-01
Муфта соединительная 02 ОСТ 24.125.106-01;0,15;opora-trub.ru ОСТ 24.125.106-01
Муфта соединительная 03 ОСТ 24.125.106-01;0,27;opora-trub.ru ОСТ 24.125.106-01
Муфта соединительная 04 ОСТ 24.125.106-01;0,45;opora-trub.ru ОСТ 24.125.106-01
Муфта соединительная 05 ОСТ 24.125.106-01;0,68;opora-trub.ru ОСТ 24.125.106-01
Муфта соединительная 06 ОСТ 24.125.106-01;1,90;opora-trub.ru ОСТ 24.125.106-01
Муфта соединительная 07 ОСТ 24.125.106-01;3,10;opora-trub.ru ОСТ 24.125.106-01
Муфта соединительная 08 ОСТ 24.125.106-01;4,70;opora-trub.ru ОСТ 24.125.106-01
