Название опоры;Вес, кг;Источник
Корпус 01 ОСТ 24.125.119-01;16,51;opora-trub.ru ОСТ 24.125.119-01
Корпус 02 ОСТ 24.125.119-01;18,62;opora-trub.ru ОСТ 24.125.119-01
Корпус 03 ОСТ 24.125.119-01;18,75;opora-trub.ru ОСТ 24.125.119-01
Корпус 04 ОСТ 24.125.119-01;21,82;opora-trub.ru ОСТ 24.125.119-01
Корпус 05 ОСТ 24.125.119-01;32,18;opora-trub.ru ОСТ 24.125.119-01
Корпус 06 ОСТ 24.125.119-01;35,69;opora-trub.ru ОСТ 24.125.119-01
Корпус 07 ОСТ 24.125.119-01;53,66;opora-trub.ru ОСТ 24.125.119-01
Корпус 08 ОСТ 24.125.119-01;55,60;opora-trub.ru ОСТ 24.125.119-01
Корпус 09 ОСТ 24.125.119-01;75,42;opora-trub.ru ОСТ 24.125.119-01
Корпус 10 ОСТ 24.125.119-01;88,57;opora-trub.ru ОСТ 24.125.119-01
Корпус 11 ОСТ 24.125.119-01;102,67;opora-trub.ru ОСТ 24.125.119-01
Корпус 12 ОСТ 24.125.119-01;127,71;opora-trub.ru ОСТ 24.125.119-01
Корпус 13 ОСТ 24.125.119-01;133,21;opora-trub.ru ОСТ 24.125.119-01
Корпус 14 ОСТ 24.125.119-01;16,64;opora-trub.ru ОСТ 24.125.119-01
Корпус 15 ОСТ 24.125.119-01;18,18;opora-trub.ru ОСТ 24.125.119-01
Корпус 16 ОСТ 24.125.119-01;18,28;opora-trub.ru ОСТ 24.125.119-01
Корпус 17 ОСТ 24.125.119-01;21,17;opora-trub.ru ОСТ 24.125.119-01
Корпус 18 ОСТ 24.125.119-01;31,51;opora-trub.ru ОСТ 24.125.119-01
Корпус 19 ОСТ 24.125.119-01;34,84;opora-trub.ru ОСТ 24.125.119-01
Корпус 20 ОСТ 24.125.119-01;52,50;opora-trub.ru ОСТ 24.125.119-01
Корпус 21 ОСТ 24.125.119-01;54,30;opora-trub.ru ОСТ 24.125.119-01
Корпус 22 ОСТ 24.125.119-01;74,02;opora-trub.ru ОСТ 24.125.119-01
Корпус 23 ОСТ 24.125.119-01;86,97;opora-trub.ru ОСТ 24.125.119-01
Корпус 24 ОСТ 24.125.119-01;100,37;opora-trub.ru ОСТ 24.125.119-01
Корпус 25 ОСТ 24.125.119-01;124,51;opora-trub.ru ОСТ 24.125.119-01
Корпус 26 ОСТ 24.125.119-01;130,01;opora-trub.ru ОСТ 24.125.119-01
