Название опоры;Вес, кг;Источник
Прокладка 01 ОСТ 24.125.115-01;0,04;opora-trub.ru ОСТ 24.125.115-01
Прокладка 02 ОСТ 24.125.115-01;0,06;opora-trub.ru ОСТ 24.125.115-01
Прокладка 03 ОСТ 24.125.115-01;0,06;opora-trub.ru ОСТ 24.125.115-01
Прокладка 04 ОСТ 24.125.115-01;0,08;opora-trub.ru ОСТ 24.125.115-01
Прокладка 05 ОСТ 24.125.115-01;0,08;opora-trub.ru ОСТ 24.125.115-01
Прокладка 06 ОСТ 24.125.115-01;0,10;opora-trub.ru ОСТ 24.125.115-01
Прокладка 07 ОСТ 24.125.115-01;0,13;opora-trub.ru ОСТ 24.125.115-01
Прокладка 08 ОСТ 24.125.115-01;0,12;opora-trub.ru ОСТ 24.125.115-01
Прокладка 09 ОСТ 24.125.115-01;0,17;opora-trub.ru ОСТ 24.125.115-01
Прокладка 10 ОСТ 24.125.115-01;0,14;opora-trub.ru ОСТ 24.125.115-01
Прокладка 11 ОСТ 24.125.115-01;0,22;opora-trub.ru ОСТ 24.125.115-01
Прокладка 12 ОСТ 24.125.115-01;0,17;opora-trub.ru ОСТ 24.125.115-01
Прокладка 13 ОСТ 24.125.115-01;0,30;opora-trub.ru ОСТ 24.125.115-01
Прокладка 14 ОСТ 24.125.115-01;0,38;opora-trub.ru ОСТ 24.125.115-01
Прокладка 15 ОСТ 24.125.115-01;0,33;opora-trub.ru ОСТ 24.125.115-01
Прокладка 16 ОСТ 24.125.115-01;0,25;opora-trub.ru ОСТ 24.125.115-01
Прокладка 17 ОСТ 24.125.115-01;0,42;opora-trub.ru ОСТ 24.125.115-01
Прокладка 18 ОСТ 24.125.115-01;0,37;opora-trub.ru ОСТ 24.125.115-01
Прокладка 19 ОСТ 24.125.115-01;0,28;opora-trub.ru ОСТ 24.125.115-01
Прокладка 20 ОСТ 24.125.115-01;0,47;opora-trub.ru ОСТ 24.125.115-01
Прокладка 21 ОСТ 24.125.115-01;0,44;opora-trub.ru ОСТ 24.125.115-01
Прокладка 22 ОСТ 24.125.115-01;0,56;opora-trub.ru ОСТ 24.125.115-01
Прокладка 23 ОСТ 24.125.115-01;0,03;opora-trub.ru ОСТ 24.125.115-01
Прокладка 24 ОСТ 24.125.115-01;0,04;opora-trub.ru ОСТ 24.125.115-01
Прокладка 25 ОСТ 24.125.115-01;0,05;opora-trub.ru ОСТ 24.125.115-01
Прокладка 26 ОСТ 24.125.115-01;0,11;opora-trub.ru ОСТ 24.125.115-01
Прокладка 27 ОСТ 24.125.115-01;0,14;opora-trub.ru ОСТ 24.125.115-01
Прокладка 28 ОСТ 24.125.115-01;0,16;opora-trub.ru ОСТ 24.125.115-01
