Название опоры;Вес, кг;Источник
Опора 01 ОСТ 24.125.156-01;5,92;opora-trub.ru ОСТ 24.125.156-01
Опора 02 ОСТ 24.125.156-01;6,06;opora-trub.ru ОСТ 24.125.156-01
Опора 03 ОСТ 24.125.156-01;7,30;opora-trub.ru ОСТ 24.125.156-01
Опора 04 ОСТ 24.125.156-01;7,56;opora-trub.ru ОСТ 24.125.156-01
Опора 05 ОСТ 24.125.156-01;7,76;opora-trub.ru ОСТ 24.125.156-01
Опора 06 ОСТ 24.125.156-01;11,55;opora-trub.ru ОСТ 24.125.156-01
Опора 07 ОСТ 24.125.156-01;11,81;opora-trub.ru ОСТ 24.125.156-01
Опора 08 ОСТ 24.125.156-01;19,60;opora-trub.ru ОСТ 24.125.156-01
Опора 09 ОСТ 24.125.156-01;19,90;opora-trub.ru ОСТ 24.125.156-01
Опора 10 ОСТ 24.125.156-01;29,15;opora-trub.ru ОСТ 24.125.156-01
Опора 11 ОСТ 24.125.156-01;40,93;opora-trub.ru ОСТ 24.125.156-01
Опора 377-11 ОСТ 24.125.156;40,93;ОСТ 24.125.156 опора 11
Опора 377-11 ОСТ 24.125.156;40,93;opora-trub ОСТ 24.125.156
Опора 12 ОСТ 24.125.156-01;44,41;opora-trub.ru ОСТ 24.125.156-01
Опора 13 ОСТ 24.125.156-01;53,41;opora-trub.ru ОСТ 24.125.156-01
Опора 14 ОСТ 24.125.156-01;71,70;opora-trub.ru ОСТ 24.125.156-01
Опора 15 ОСТ 24.125.156-01;97,00;opora-trub.ru ОСТ 24.125.156-01
Опора 16 ОСТ 24.125.156-01;109,00;opora-trub.ru ОСТ 24.125.156-01
Опора 17 ОСТ 24.125.156-01;119,00;opora-trub.ru ОСТ 24.125.156-01
Опора 18 ОСТ 24.125.156-01;5,33;opora-trub.ru ОСТ 24.125.156-01
Опора 19 ОСТ 24.125.156-01;5,43;opora-trub.ru ОСТ 24.125.156-01
Опора 20 ОСТ 24.125.156-01;7,12;opora-trub.ru ОСТ 24.125.156-01
Опора 21 ОСТ 24.125.156-01;7,48;opora-trub.ru ОСТ 24.125.156-01
Опора 22 ОСТ 24.125.156-01;7,76;opora-trub.ru ОСТ 24.125.156-01
Опора 23 ОСТ 24.125.156-01;7,90;opora-trub.ru ОСТ 24.125.156-01
Опора 24 ОСТ 24.125.156-01;10,91;opora-trub.ru ОСТ 24.125.156-01
Опора 25 ОСТ 24.125.156-01;11,11;opora-trub.ru ОСТ 24.125.156-01
Опора 26 ОСТ 24.125.156-01;18,68;opora-trub.ru ОСТ 24.125.156-01
Опора 27 ОСТ 24.125.156-01;18,98;opora-trub.ru ОСТ 24.125.156-01
Опора 28 ОСТ 24.125.156-01;27,98;opora-trub.ru ОСТ 24.125.156-01
Опора 29 ОСТ 24.125.156-01;39,33;opora-trub.ru ОСТ 24.125.156-01
Опора 30 ОСТ 24.125.156-01;42,53;opora-trub.ru ОСТ 24.125.156-01
Опора 31 ОСТ 24.125.156-01;51,59;opora-trub.ru ОСТ 24.125.156-01
Опора 32 ОСТ 24.125.156-01;69,68;opora-trub.ru ОСТ 24.125.156-01
Опора 33 ОСТ 24.125.156-01;93,86;opora-trub.ru ОСТ 24.125.156-01
Опора 34 ОСТ 24.125.156-01;104,56;opora-trub.ru ОСТ 24.125.156-01
Опора 35 ОСТ 24.125.156-01;113,90;opora-trub.ru ОСТ 24.125.156-01
Опора 36 ОСТ 24.125.156-01;5,41;opora-trub.ru ОСТ 24.125.156-01
Опора 37 ОСТ 24.125.156-01;5,55;opora-trub.ru ОСТ 24.125.156-01
Опора 38 ОСТ 24.125.156-01;7,23;opora-trub.ru ОСТ 24.125.156-01
Опора 39 ОСТ 24.125.156-01;7,64;opora-trub.ru ОСТ 24.125.156-01
Опора 40 ОСТ 24.125.156-01;8,00;opora-trub.ru ОСТ 24.125.156-01
Опора 41 ОСТ 24.125.156-01;8,18;opora-trub.ru ОСТ 24.125.156-01
Опора 42 ОСТ 24.125.156-01;11,45;opora-trub.ru ОСТ 24.125.156-01
Опора 43 ОСТ 24.125.156-01;19,18;opora-trub.ru ОСТ 24.125.156-01
Опора 44 ОСТ 24.125.156-01;19,54;opora-trub.ru ОСТ 24.125.156-01
Опора 45 ОСТ 24.125.156-01;28,85;opora-trub.ru ОСТ 24.125.156-01
