Название опоры;Вес, кг;Источник
Талреп 01 ОСТ 24.125.105-01;0,26;opora-trub.ru ОСТ 24.125.105-01
Талреп 02 ОСТ 24.125.105-01;0,80;opora-trub.ru ОСТ 24.125.105-01
Талреп 03 ОСТ 24.125.105-01;0,80;opora-trub.ru ОСТ 24.125.105-01
Талреп 04 ОСТ 24.125.105-01;1,60;opora-trub.ru ОСТ 24.125.105-01
Талреп 05 ОСТ 24.125.105-01;4,20;opora-trub.ru ОСТ 24.125.105-01
Талреп 06 ОСТ 24.125.105-01;4,20;opora-trub.ru ОСТ 24.125.105-01
Талреп 07 ОСТ 24.125.105-01;9,92;opora-trub.ru ОСТ 24.125.105-01
Талреп 08 ОСТ 24.125.105-01;10,02;opora-trub.ru ОСТ 24.125.105-01
