Название опоры;Вес, кг;Источник
Подвеска 01 ОСТ 24.125.118-01;17,80;opora-trub.ru ОСТ 24.125.118-01
Подвеска 02 ОСТ 24.125.118-01;21,15;opora-trub.ru ОСТ 24.125.118-01
Подвеска 03 ОСТ 24.125.118-01;21,41;opora-trub.ru ОСТ 24.125.118-01
Подвеска 04 ОСТ 24.125.118-01;25,30;opora-trub.ru ОСТ 24.125.118-01
Подвеска 05 ОСТ 24.125.118-01;35,80;opora-trub.ru ОСТ 24.125.118-01
Подвеска 06 ОСТ 24.125.118-01;40,20;opora-trub.ru ОСТ 24.125.118-01
Подвеска 07 ОСТ 24.125.118-01;61,50;opora-trub.ru ОСТ 24.125.118-01
Подвеска 08 ОСТ 24.125.118-01;64,90;opora-trub.ru ОСТ 24.125.118-01
Подвеска 09 ОСТ 24.125.118-01;87,60;opora-trub.ru ОСТ 24.125.118-01
Подвеска 10 ОСТ 24.125.118-01;101,80;opora-trub.ru ОСТ 24.125.118-01
Подвеска 11 ОСТ 24.125.118-01;125,50;opora-trub.ru ОСТ 24.125.118-01
Подвеска 12 ОСТ 24.125.118-01;152,60;opora-trub.ru ОСТ 24.125.118-01
Подвеска 13 ОСТ 24.125.118-01;162,60;opora-trub.ru ОСТ 24.125.118-01
Подвеска 14 ОСТ 24.125.118-01;17,90;opora-trub.ru ОСТ 24.125.118-01
Подвеска 15 ОСТ 24.125.118-01;20,40;opora-trub.ru ОСТ 24.125.118-01
Подвеска 16 ОСТ 24.125.118-01;20,60;opora-trub.ru ОСТ 24.125.118-01
Подвеска 17 ОСТ 24.125.118-01;24,30;opora-trub.ru ОСТ 24.125.118-01
Подвеска 18 ОСТ 24.125.118-01;34,80;opora-trub.ru ОСТ 24.125.118-01
Подвеска 19 ОСТ 24.125.118-01;39,10;opora-trub.ru ОСТ 24.125.118-01
Подвеска 20 ОСТ 24.125.118-01;59,70;opora-trub.ru ОСТ 24.125.118-01
Подвеска 21 ОСТ 24.125.118-01;62,90;opora-trub.ru ОСТ 24.125.118-01
Подвеска 22 ОСТ 24.125.118-01;85,64;opora-trub.ru ОСТ 24.125.118-01
Подвеска 23 ОСТ 24.125.118-01;99,70;opora-trub.ru ОСТ 24.125.118-01
Подвеска 24 ОСТ 24.125.118-01;121,20;opora-trub.ru ОСТ 24.125.118-01
Подвеска 25 ОСТ 24.125.118-01;147,90;opora-trub.ru ОСТ 24.125.118-01
Подвеска 26 ОСТ 24.125.118-01;156,80;opora-trub.ru ОСТ 24.125.118-01
Подвеска 27 ОСТ 24.125.118-01;18,20;opora-trub.ru ОСТ 24.125.118-01
Подвеска 28 ОСТ 24.125.118-01;20,90;opora-trub.ru ОСТ 24.125.118-01
Подвеска 29 ОСТ 24.125.118-01;24,80;opora-trub.ru ОСТ 24.125.118-01
Подвеска 30 ОСТ 24.125.118-01;35,40;opora-trub.ru ОСТ 24.125.118-01
Подвеска 31 ОСТ 24.125.118-01;39,90;opora-trub.ru ОСТ 24.125.118-01
