Название опоры;Вес, кг;Источник
25-ХБ-А;0,1;ДЕТАЛЬНЕФТЕХИМ ОСТ 36-146-88 ХБ
32-ХБ-А;0,1;ДЕТАЛЬНЕФТЕХИМ ОСТ 36-146-88 ХБ
32-ХБ-Б;0,18;ДЕТАЛЬНЕФТЕХИМ ОСТ 36-146-88 ХБ
38-ХБ-А;0,2;ДЕТАЛЬНЕФТЕХИМ ОСТ 36-146-88 ХБ
45-ХБ-А;0,2;ДЕТАЛЬНЕФТЕХИМ ОСТ 36-146-88 ХБ
57-ХБ-А;0,3;ДЕТАЛЬНЕФТЕХИМ ОСТ 36-146-88 ХБ
57-ХБ-Б;0,5;ДЕТАЛЬНЕФТЕХИМ detalneftehim.ru
57-ХБ-В;0,2;ДЕТАЛЬНЕФТЕХИМ detalneftehim.ru
57-ХБ-Г;0,4;ДЕТАЛЬНЕФТЕХИМ detalneftehim.ru
76-ХБ-А;0,4;ДЕТАЛЬНЕФТЕХИМ ОСТ 36-146-88 ХБ
76-ХБ-Б;0,6;ДЕТАЛЬНЕФТЕХИМ detalneftehim.ru
76-ХБ-В;0,3;ДЕТАЛЬНЕФТЕХИМ detalneftehim.ru
76-ХБ-Г;0,5;ДЕТАЛЬНЕФТЕХИМ detalneftehim.ru
89-ХБ-А;0,4;ДЕТАЛЬНЕФТЕХИМ ОСТ 36-146-88 ХБ
89-ХБ-Б;0,6;ДЕТАЛЬНЕФТЕХИМ detalneftehim.ru
89-ХБ-Б;0,6;opora-trub ОСТ 36-146-88 ХБ
89-ХБ-В;0,3;ДЕТАЛЬНЕФТЕХИМ detalneftehim.ru
89-ХБ-Г;0,5;ДЕТАЛЬНЕФТЕХИМ detalneftehim.ru
108-ХБ-А;0,8;ДЕТАЛЬНЕФТЕХИМ detalneftehim.ru
108-ХБ-Б;1,08;ДЕТАЛЬНЕФТЕХИМ detalneftehim.ru
108-ХБ-В;0,6;ДЕТАЛЬНЕФТЕХИМ detalneftehim.ru
108-ХБ-Г;0,88;ДЕТАЛЬНЕФТЕХИМ detalneftehim.ru
133-ХБ-А;1,0;ДЕТАЛЬНЕФТЕХИМ ОСТ 36-146-88 ХБ
133-ХБ-Б;1,52;ДЕТАЛЬНЕФТЕХИМ detalneftehim.ru
133-ХБ-В;0,7;ДЕТАЛЬНЕФТЕХИМ detalneftehim.ru
133-ХБ-Г;1,22;ДЕТАЛЬНЕФТЕХИМ detalneftehim.ru
159-ХБ-А;1,8;ДЕТАЛЬНЕФТЕХИМ ОСТ 36-146-88 ХБ
159-ХБ-Б;2,32;ДЕТАЛЬНЕФТЕХИМ detalneftehim.ru
159-ХБ-Б;2,32;opora-trub ОСТ 36-146-88 ХБ
159-ХБ-В;1,3;ДЕТАЛЬНЕФТЕХИМ detalneftehim.ru
159-ХБ-Г;1,82;ДЕТАЛЬНЕФТЕХИМ detalneftehim.ru
219-ХБ-А;2,2;ДЕТАЛЬНЕФТЕХИМ ОСТ 36-146-88 ХБ
219-ХБ-Б;3,24;ДЕТАЛЬНЕФТЕХИМ detalneftehim.ru
273-ХБ-А;2,6;ДЕТАЛЬНЕФТЕХИМ detalneftehim.ru
273-ХБ-Б;3,64;ДЕТАЛЬНЕФТЕХИМ detalneftehim.ru
325-ХБ-А;3;ДЕТАЛЬНЕФТЕХИМ detalneftehim.ru
325-ХБ-Б;4,04;ДЕТАЛЬНЕФТЕХИМ detalneftehim.ru
325-ХБ-Б;4,04;opora-trub ОСТ 36-146-88 ХБ
377-ХБ-А;5;ДЕТАЛЬНЕФТЕХИМ detalneftehim.ru
377-ХБ-Б;6,24;ДЕТАЛЬНЕФТЕХИМ detalneftehim.ru
377-ХБ-Б;6,24;opora-trub ОСТ 36-146-88 ХБ
426-ХБ-А;5,5;ДЕТАЛЬНЕФТЕХИМ detalneftehim.ru
426-ХБ-Б;8,4;ДЕТАЛЬНЕФТЕХИМ detalneftehim.ru
530-ХБ-А;6,6;ДЕТАЛЬНЕФТЕХИМ detalneftehim.ru
530-ХБ-Б;9,5;ДЕТАЛЬНЕФТЕХИМ detalneftehim.ru
Опора 530-ХБ-Б;9,5;opora-trub ОСТ 36-146-88 ХБ
57-КХ-А11;2,1;ДЕТАЛЬНЕФТЕХИМ ОСТ 36-146-88 КХ
76-КХ-А11;2,2;ДЕТАЛЬНЕФТЕХИМ detalneftehim.ru
89-КХ-А11;2,2;ДЕТАЛЬНЕФТЕХИМ ОСТ 36-146-88 КХ
108-КХ-А11;5,4;ДЕТАЛЬНЕФТЕХИМ 108-КХ-А11
108-КХ-А21;6,0;ДЕТАЛЬНЕФТЕХИМ ОСТ 36-146-88 КХ
108-КХ-А21;6,0;zavodopora ОСТ 36-146-88 КХ (zavodopora.ru)
89-КХ-А21;2,8;ДЕТАЛЬНЕФТЕХИМ ОСТ 36-146-88 КХ
89-КХ-А21;2,8;zavodopora ОСТ 36-146-88 КХ
159-КХ-А21;7,4;ДЕТАЛЬНЕФТЕХИМ ОСТ 36-146-88 КХ
159-КХ-А21;7,4;zavodopora ОСТ 36-146-88 КХ
219-КХ-А21;14,1;ДЕТАЛЬНЕФТЕХИМ ОСТ 36-146-88 КХ
219-КХ-А21;14,1;zavodopora ОСТ 36-146-88 КХ
159-КХ-А11;6,9;ДЕТАЛЬНЕФТЕХИМ detalneftehim.ru
159-КХ-А12;8,4;ДЕТАЛЬНЕФТЕХИМ detalneftehim.ru
159-КХ-АС11;6,9;ДЕТАЛЬНЕФТЕХИМ ОСТ 36-146-88 КХ
219-КХ-А11;13,4;ДЕТАЛЬНЕФТЕХИМ detalneftehim.ru
219-КХ-А13;21,7;ДЕТАЛЬНЕФТЕХИМ detalneftehim.ru
325-КХ-А11;17,4;ДЕТАЛЬНЕФТЕХИМ 325-КХ-А11/АС11
Опора 325-КХ-А11-ст.09Г2С;17,4;zavod-upr ОСТ 36-146-88 КХ
325-КХ-АС11;17,4;ДЕТАЛЬНЕФТЕХИМ 325-КХ-А11/АС11
530-КХ-А11;36,5;ДЕТАЛЬНЕФТЕХИМ 530-КХ-А11/АС11
57-КП-А21;1,8;ДЕТАЛЬНЕФТЕХИМ КП ОСТ 36-146-88
57-КП-А21;1,8;pipes-ppu ОСТ 36-146-88 КП
89-КП-А21;2,2;ДЕТАЛЬНЕФТЕХИМ КП ОСТ 36-146-88
89-КП-А21;2,2;opora-trub КП ОСТ 36-146-88
108-КП-А21;2,8;ДЕТАЛЬНЕФТЕХИМ КП ОСТ 36-146-88
108-КП-А21;2,8;zavod-upr КП ОСТ 36-146-88
159-КП-А21;2,8;ДЕТАЛЬНЕФТЕХИМ КП ОСТ 36-146-88
159-КП-А21;2,8;pipes-ppu КП ОСТ 36-146-88
219-КП-А21;4,8;ДЕТАЛЬНЕФТЕХИМ КП ОСТ 36-146-88
219-КП-А21;4,8;opora-trub КП ОСТ 36-146-88
273-КП-А21;7,8;ДЕТАЛЬНЕФТЕХИМ КП ОСТ 36-146-88
273-КП-А21;7,8;zavod-upr КП ОСТ 36-146-88
32-ТП-АС10;0,7;Теплоэнергопласт ОСТ 36-146-88 ТП
32-ТП-АС10;0,7;Теплоэнергопласт ОСТ 36-146-88
57-ВП-А2;2,2;ДЕТАЛЬНЕФТЕХИМ ВП ОСТ 36-146-88
57-ВП-А2;2,2;promng ОСТ 36-146-88 ВП
57-ТХ-АС11;2;ДЕТАЛЬНЕФТЕХИМ ТХ ОСТ 36-146-88
57-ТХ-АС11;2;rus-line ТХ ОСТ 36-146-88
32-ТХ-АС10;1,1;каталоги ТХ-АС10 Дн 18-45
32-ТХ-АС10;1,1;detalneftehim ОСТ 36-146-88 ТХ
57-КП-А11;1,3;ДЕТАЛЬНЕФТЕХИМ detalneftehim.ru
76-КП-А11;1,3;zavodopora ОСТ 36-146-88 КП А11/АС11
57-КП-А22;3,6;ДЕТАЛЬНЕФТЕХИМ detalneftehim.ru
89-КП-А11;1,2;каталоги КП ОСТ 36-146-88
89-КП-А12;2,5;ДЕТАЛЬНЕФТЕХИМ detalneftehim.ru
89-КП-А22;3,5;ДЕТАЛЬНЕФТЕХИМ detalneftehim.ru
108-КП-А11;1,5;ДЕТАЛЬНЕФТЕХИМ detalneftehim.ru
108-КП-А12;3;ДЕТАЛЬНЕФТЕХИМ detalneftehim.ru
108-КП-А22;4,2;ДЕТАЛЬНЕФТЕХИМ detalneftehim.ru
133-КП-А11;1,5;zavodopora ОСТ 36-146-88 КП А11/АС11
133-КП-А12;3;ДЕТАЛЬНЕФТЕХИМ detalneftehim.ru
133-КП-А22;4,1;ДЕТАЛЬНЕФТЕХИМ detalneftehim.ru
