Название опоры;Вес, кг;Источник
Опора катковая пружинная 01 ОСТ 24.125.165-01;67,83;opora-trub.ru ОСТ 24.125.165-01
Опора катковая пружинная 02 ОСТ 24.125.165-01;57,46;opora-trub.ru ОСТ 24.125.165-01
Опора катковая пружинная 03 ОСТ 24.125.165-01;68,09;opora-trub.ru ОСТ 24.125.165-01
Опора катковая пружинная 04 ОСТ 24.125.165-01;57,72;opora-trub.ru ОСТ 24.125.165-01
Опора катковая пружинная 05 ОСТ 24.125.165-01;117,92;opora-trub.ru ОСТ 24.125.165-01
Опора катковая пружинная 06 ОСТ 24.125.165-01;96,36;opora-trub.ru ОСТ 24.125.165-01
Опора катковая пружинная 07 ОСТ 24.125.165-01;118,26;opora-trub.ru ОСТ 24.125.165-01
Опора катковая пружинная 08 ОСТ 24.125.165-01;96,70;opora-trub.ru ОСТ 24.125.165-01
Опора катковая пружинная 09 ОСТ 24.125.165-01;122,71;opora-trub.ru ОСТ 24.125.165-01
Опора катковая пружинная 10 ОСТ 24.125.165-01;101,15;opora-trub.ru ОСТ 24.125.165-01
Опора катковая пружинная 11 ОСТ 24.125.165-01;133,49;opora-trub.ru ОСТ 24.125.165-01
Опора катковая пружинная 12 ОСТ 24.125.165-01;110,93;opora-trub.ru ОСТ 24.125.165-01
Опора катковая пружинная 13 ОСТ 24.125.165-01;155,41;opora-trub.ru ОСТ 24.125.165-01
Опора катковая пружинная 14 ОСТ 24.125.165-01;131,41;opora-trub.ru ОСТ 24.125.165-01
Опора катковая пружинная 15 ОСТ 24.125.165-01;164,41;opora-trub.ru ОСТ 24.125.165-01
Опора катковая пружинная 16 ОСТ 24.125.165-01;140,41;opora-trub.ru ОСТ 24.125.165-01
Опора катковая пружинная 17 ОСТ 24.125.165-01;176,63;opora-trub.ru ОСТ 24.125.165-01
Опора катковая пружинная 18 ОСТ 24.125.165-01;150,24;opora-trub.ru ОСТ 24.125.165-01
Опора катковая пружинная 19 ОСТ 24.125.165-01;210,76;opora-trub.ru ОСТ 24.125.165-01
Опора катковая пружинная 20 ОСТ 24.125.165-01;181,40;opora-trub.ru ОСТ 24.125.165-01
Опора катковая пружинная 21 ОСТ 24.125.165-01;88,87;opora-trub.ru ОСТ 24.125.165-01
Опора катковая пружинная 22 ОСТ 24.125.165-01;78,50;opora-trub.ru ОСТ 24.125.165-01
Опора катковая пружинная 23 ОСТ 24.125.165-01;89,13;opora-trub.ru ОСТ 24.125.165-01
Опора катковая пружинная 24 ОСТ 24.125.165-01;78,76;opora-trub.ru ОСТ 24.125.165-01
Опора катковая пружинная 25 ОСТ 24.125.165-01;138,96;opora-trub.ru ОСТ 24.125.165-01
Опора катковая пружинная 26 ОСТ 24.125.165-01;117,40;opora-trub.ru ОСТ 24.125.165-01
Опора катковая пружинная 27 ОСТ 24.125.165-01;139,30;opora-trub.ru ОСТ 24.125.165-01
Опора катковая пружинная 28 ОСТ 24.125.165-01;117,74;opora-trub.ru ОСТ 24.125.165-01
Опора катковая пружинная 29 ОСТ 24.125.165-01;143,75;opora-trub.ru ОСТ 24.125.165-01
Опора катковая пружинная 30 ОСТ 24.125.165-01;122,19;opora-trub.ru ОСТ 24.125.165-01
Опора катковая пружинная 31 ОСТ 24.125.165-01;153,53;opora-trub.ru ОСТ 24.125.165-01
Опора катковая пружинная 32 ОСТ 24.125.165-01;131,97;opora-trub.ru ОСТ 24.125.165-01
Опора катковая пружинная 33 ОСТ 24.125.165-01;199,55;opora-trub.ru ОСТ 24.125.165-01
Опора катковая пружинная 34 ОСТ 24.125.165-01;175,55;opora-trub.ru ОСТ 24.125.165-01
Опора катковая пружинная 35 ОСТ 24.125.165-01;208,55;opora-trub.ru ОСТ 24.125.165-01
Опора катковая пружинная 36 ОСТ 24.125.165-01;184,55;opora-trub.ru ОСТ 24.125.165-01
Опора катковая пружинная 37 ОСТ 24.125.165-01;220,77;opora-trub.ru ОСТ 24.125.165-01
Опора катковая пружинная 38 ОСТ 24.125.165-01;194,38;opora-trub.ru ОСТ 24.125.165-01
Опора катковая пружинная 39 ОСТ 24.125.165-01;254,90;opora-trub.ru ОСТ 24.125.165-01
Опора катковая пружинная 40 ОСТ 24.125.165-01;225,54;opora-trub.ru ОСТ 24.125.165-01
Опора катковая пружинная 41 ОСТ 24.125.165-01;67,19;opora-trub.ru ОСТ 24.125.165-01
Опора катковая пружинная 42 ОСТ 24.125.165-01;56,82;opora-trub.ru ОСТ 24.125.165-01
Опора катковая пружинная 43 ОСТ 24.125.165-01;67,39;opora-trub.ru ОСТ 24.125.165-01
