Название опоры;Вес, кг;Источник
57У-01;0,2;Промнефтегаз ОСТ 34-10-620-93
57К-02;0,3;Промнефтегаз ОСТ 34-10-620-93
57У-03;0,23;Промнефтегаз ОСТ 34-10-620-93
57К-04;0,34;Промнефтегаз ОСТ 34-10-620-93
76У-05;0,23;Промнефтегаз ОСТ 34-10-620-93
76К-06;0,35;Промнефтегаз ОСТ 34-10-620-93
76У-07;0,26;Промнефтегаз ОСТ 34-10-620-93
76К-08;0,41;Промнефтегаз ОСТ 34-10-620-93
89У-09;0,35;Промнефтегаз ОСТ 34-10-620-93
89К-10;0,49;Промнефтегаз ОСТ 34-10-620-93
89У-11;0,38;Промнефтегаз ОСТ 34-10-620-93
89К-12;0,55;Промнефтегаз ОСТ 34-10-620-93
108У-13;0,4;Промнефтегаз ОСТ 34-10-620-93
108К-14;0,57;Промнефтегаз ОСТ 34-10-620-93
108У-15;0,45;Промнефтегаз ОСТ 34-10-620-93
108К-16;0,67;Промнефтегаз ОСТ 34-10-620-93
133У-17;0,87;Промнефтегаз ОСТ 34-10-620-93
133К-18;1,07;Промнефтегаз ОСТ 34-10-620-93
133У-19;0,92;Промнефтегаз ОСТ 34-10-620-93
133К-20;1,09;Промнефтегаз ОСТ 34-10-620-93
159У-21;1;Промнефтегаз ОСТ 34-10-620-93
159К-22;1,24;Промнефтегаз ОСТ 34-10-620-93
159У-23;1,07;Промнефтегаз ОСТ 34-10-620-93
159К-24;1,38;Промнефтегаз ОСТ 34-10-620-93
219У-25;2,13;Промнефтегаз ОСТ 34-10-620-93
219К-26;2,54;Промнефтегаз ОСТ 34-10-620-93
219У-27;2,27;Промнефтегаз ОСТ 34-10-620-93
219К-28;2,82;Промнефтегаз ОСТ 34-10-620-93
273У-29;2,36;Промнефтегаз ОСТ 34-10-620-93
273К-30;2,57;Промнефтегаз ОСТ 34-10-620-93
273У-31;2,5;Промнефтегаз ОСТ 34-10-620-93
273К-32;3,15;Промнефтегаз ОСТ 34-10-620-93
325У-33;3,32;Промнефтегаз ОСТ 34-10-620-93
325К-34;4,22;Промнефтегаз ОСТ 34-10-620-93
325У-35;3,79;Промнефтегаз ОСТ 34-10-620-93
325К-36;4,56;Промнефтегаз ОСТ 34-10-620-93
377У-37;3,66;Промнефтегаз ОСТ 34-10-620-93
377К-38;4,75;Промнефтегаз ОСТ 34-10-620-93
377У-39;4,13;Промнефтегаз ОСТ 34-10-620-93
377К-40;5,5;Промнефтегаз ОСТ 34-10-620-93
426У-41;6;Промнефтегаз ОСТ 34-10-620-93
426У-42;7,06;Промнефтегаз ОСТ 34-10-620-93
426У-43;7;Промнефтегаз ОСТ 34-10-620-93
426К-44;8,06;Промнефтегаз ОСТ 34-10-620-93
478У-45;6,8;Промнефтегаз ОСТ 34-10-620-93
478К-46;8,2;Промнефтегаз ОСТ 34-10-620-93
478У-47;8;Промнефтегаз ОСТ 34-10-620-93
478К-48;9,2;Промнефтегаз ОСТ 34-10-620-93
530У-49;7,25;Промнефтегаз ОСТ 34-10-620-93
530К-50;8,35;Промнефтегаз ОСТ 34-10-620-93
530У-51;8,65;Промнефтегаз ОСТ 34-10-620-93
530К-52;10;Промнефтегаз ОСТ 34-10-620-93
