Название опоры;Вес, кг;Источник
Упор 01 ОСТ 24.125.130-01;0,03;opora-trub.ru ОСТ 24.125.130-01
Упор 02 ОСТ 24.125.130-01;0,05;opora-trub.ru ОСТ 24.125.130-01
Упор 03 ОСТ 24.125.130-01;0,13;opora-trub.ru ОСТ 24.125.130-01
Упор 04 ОСТ 24.125.130-01;0,42;opora-trub.ru ОСТ 24.125.130-01
Упор 05 ОСТ 24.125.130-01;0,45;opora-trub.ru ОСТ 24.125.130-01
Упор 06 ОСТ 24.125.130-01;1,30;opora-trub.ru ОСТ 24.125.130-01
Упор 07 ОСТ 24.125.130-01;1,60;opora-trub.ru ОСТ 24.125.130-01
Упор 08 ОСТ 24.125.130-01;1,90;opora-trub.ru ОСТ 24.125.130-01
Упор 09 ОСТ 24.125.130-01;1,20;opora-trub.ru ОСТ 24.125.130-01
Упор 10 ОСТ 24.125.130-01;2,80;opora-trub.ru ОСТ 24.125.130-01
Упор 11 ОСТ 24.125.130-01;2,30;opora-trub.ru ОСТ 24.125.130-01
Упор 12 ОСТ 24.125.130-01;3,20;opora-trub.ru ОСТ 24.125.130-01
Упор 13 ОСТ 24.125.130-01;3,40;opora-trub.ru ОСТ 24.125.130-01
Упор 14 ОСТ 24.125.130-01;7,70;opora-trub.ru ОСТ 24.125.130-01
Упор 15 ОСТ 24.125.130-01;9,60;opora-trub.ru ОСТ 24.125.130-01
Упор 16 ОСТ 24.125.130-01;10,50;opora-trub.ru ОСТ 24.125.130-01
Упор 17 ОСТ 24.125.130-01;14,20;opora-trub.ru ОСТ 24.125.130-01
Упор 18 ОСТ 24.125.130-01;0,03;opora-trub.ru ОСТ 24.125.130-01
Упор 19 ОСТ 24.125.130-01;0,07;opora-trub.ru ОСТ 24.125.130-01
Упор 20 ОСТ 24.125.130-01;0,05;opora-trub.ru ОСТ 24.125.130-01
Упор 21 ОСТ 24.125.130-01;0,13;opora-trub.ru ОСТ 24.125.130-01
Упор 22 ОСТ 24.125.130-01;0,48;opora-trub.ru ОСТ 24.125.130-01
Упор 23 ОСТ 24.125.130-01;0,32;opora-trub.ru ОСТ 24.125.130-01
Упор 24 ОСТ 24.125.130-01;1,00;opora-trub.ru ОСТ 24.125.130-01
Упор 25 ОСТ 24.125.130-01;0,75;opora-trub.ru ОСТ 24.125.130-01
Упор 26 ОСТ 24.125.130-01;1,40;opora-trub.ru ОСТ 24.125.130-01
Упор 27 ОСТ 24.125.130-01;1,50;opora-trub.ru ОСТ 24.125.130-01
Упор 28 ОСТ 24.125.130-01;1,50;opora-trub.ru ОСТ 24.125.130-01
Упор 29 ОСТ 24.125.130-01;1,80;opora-trub.ru ОСТ 24.125.130-01
Упор 30 ОСТ 24.125.130-01;2,10;opora-trub.ru ОСТ 24.125.130-01
Упор 31 ОСТ 24.125.130-01;2,60;opora-trub.ru ОСТ 24.125.130-01
Упор 32 ОСТ 24.125.130-01;8,40;opora-trub.ru ОСТ 24.125.130-01
Упор 33 ОСТ 24.125.130-01;5,80;opora-trub.ru ОСТ 24.125.130-01
Упор 34 ОСТ 24.125.130-01;8,00;opora-trub.ru ОСТ 24.125.130-01
Упор 35 ОСТ 24.125.130-01;9,80;opora-trub.ru ОСТ 24.125.130-01
Упор 36 ОСТ 24.125.130-01;0,03;opora-trub.ru ОСТ 24.125.130-01
Упор 37 ОСТ 24.125.130-01;0,04;opora-trub.ru ОСТ 24.125.130-01
Упор 38 ОСТ 24.125.130-01;0,07;opora-trub.ru ОСТ 24.125.130-01
Упор 39 ОСТ 24.125.130-01;0,14;opora-trub.ru ОСТ 24.125.130-01
Упор 40 ОСТ 24.125.130-01;0,29;opora-trub.ru ОСТ 24.125.130-01
Упор 41 ОСТ 24.125.130-01;0,38;opora-trub.ru ОСТ 24.125.130-01
Упор 42 ОСТ 24.125.130-01;0,92;opora-trub.ru ОСТ 24.125.130-01
Упор 43 ОСТ 24.125.130-01;1,40;opora-trub.ru ОСТ 24.125.130-01
Упор 44 ОСТ 24.125.130-01;1,00;opora-trub.ru ОСТ 24.125.130-01
Упор 45 ОСТ 24.125.130-01;1,30;opora-trub.ru ОСТ 24.125.130-01
