Название опоры;Вес, кг;Источник
Блок хомутовый с траверсой 01 ОСТ 24.125.116-01;39,24;opora-trub.ru ОСТ 24.125.116-01
Блок хомутовый с траверсой 02 ОСТ 24.125.116-01;39,18;opora-trub.ru ОСТ 24.125.116-01
Блок хомутовый с траверсой 03 ОСТ 24.125.116-01;49,48;opora-trub.ru ОСТ 24.125.116-01
Блок хомутовый с траверсой 04 ОСТ 24.125.116-01;49,40;opora-trub.ru ОСТ 24.125.116-01
Блок хомутовый с траверсой 05 ОСТ 24.125.116-01;54,16;opora-trub.ru ОСТ 24.125.116-01
Блок хомутовый с траверсой 06 ОСТ 24.125.116-01;54,08;opora-trub.ru ОСТ 24.125.116-01
Блок хомутовый с траверсой 07 ОСТ 24.125.116-01;57,92;opora-trub.ru ОСТ 24.125.116-01
Блок хомутовый с траверсой 08 ОСТ 24.125.116-01;57,84;opora-trub.ru ОСТ 24.125.116-01
Блок хомутовый с траверсой 09 ОСТ 24.125.116-01;67,72;opora-trub.ru ОСТ 24.125.116-01
Блок хомутовый с траверсой 10 ОСТ 24.125.116-01;67,66;opora-trub.ru ОСТ 24.125.116-01
Блок хомутовый с траверсой 11 ОСТ 24.125.116-01;71,76;opora-trub.ru ОСТ 24.125.116-01
Блок хомутовый с траверсой 12 ОСТ 24.125.116-01;71,70;opora-trub.ru ОСТ 24.125.116-01
Блок хомутовый с траверсой 13 ОСТ 24.125.116-01;84,78;opora-trub.ru ОСТ 24.125.116-01
Блок хомутовый с траверсой 14 ОСТ 24.125.116-01;84,70;opora-trub.ru ОСТ 24.125.116-01
Блок хомутовый с траверсой 15 ОСТ 24.125.116-01;110,77;opora-trub.ru ОСТ 24.125.116-01
Блок хомутовый с траверсой 16 ОСТ 24.125.116-01;110,71;opora-trub.ru ОСТ 24.125.116-01
Блок хомутовый с траверсой 17 ОСТ 24.125.116-01;124,43;opora-trub.ru ОСТ 24.125.116-01
Блок хомутовый с траверсой 18 ОСТ 24.125.116-01;124,37;opora-trub.ru ОСТ 24.125.116-01
