Название опоры;Вес, кг;Источник
Блок хомутовый 01 ОСТ 24.125.127-01;4,00;opora-trub.ru ОСТ 24.125.127-01
Блок хомутовый 02 ОСТ 24.125.127-01;4,84;opora-trub.ru ОСТ 24.125.127-01
Блок хомутовый 03 ОСТ 24.125.127-01;10,87;opora-trub.ru ОСТ 24.125.127-01
Блок хомутовый 04 ОСТ 24.125.127-01;14,90;opora-trub.ru ОСТ 24.125.127-01
Блок хомутовый 05 ОСТ 24.125.127-01;20,40;opora-trub.ru ОСТ 24.125.127-01
Блок хомутовый 06 ОСТ 24.125.127-01;29,70;opora-trub.ru ОСТ 24.125.127-01
Блок хомутовый 07 ОСТ 24.125.127-01;35,50;opora-trub.ru ОСТ 24.125.127-01
Блок хомутовый 08 ОСТ 24.125.127-01;69,30;opora-trub.ru ОСТ 24.125.127-01
Блок хомутовый 09 ОСТ 24.125.127-01;55,20;opora-trub.ru ОСТ 24.125.127-01
Блок хомутовый 10 ОСТ 24.125.127-01;83,40;opora-trub.ru ОСТ 24.125.127-01
Блок хомутовый 11 ОСТ 24.125.127-01;92,60;opora-trub.ru ОСТ 24.125.127-01
Блок хомутовый 12 ОСТ 24.125.127-01;76,30;opora-trub.ru ОСТ 24.125.127-01
Блок хомутовый 13 ОСТ 24.125.127-01;119,60;opora-trub.ru ОСТ 24.125.127-01
Блок хомутовый 14 ОСТ 24.125.127-01;81,70;opora-trub.ru ОСТ 24.125.127-01
Блок хомутовый 15 ОСТ 24.125.127-01;127,00;opora-trub.ru ОСТ 24.125.127-01
Блок хомутовый 16 ОСТ 24.125.127-01;86,10;opora-trub.ru ОСТ 24.125.127-01
Блок хомутовый 17 ОСТ 24.125.127-01;133,80;opora-trub.ru ОСТ 24.125.127-01
Блок хомутовый 18 ОСТ 24.125.127-01;102,10;opora-trub.ru ОСТ 24.125.127-01
Блок хомутовый 19 ОСТ 24.125.127-01;160,40;opora-trub.ru ОСТ 24.125.127-01
Блок хомутовый 20 ОСТ 24.125.127-01;124,80;opora-trub.ru ОСТ 24.125.127-01
Блок хомутовый 21 ОСТ 24.125.127-01;179,50;opora-trub.ru ОСТ 24.125.127-01
Блок хомутовый 22 ОСТ 24.125.127-01;366,98;opora-trub.ru ОСТ 24.125.127-01
Блок хомутовый 23 ОСТ 24.125.127-01;424,98;opora-trub.ru ОСТ 24.125.127-01
Блок хомутовый 24 ОСТ 24.125.127-01;3,00;opora-trub.ru ОСТ 24.125.127-01
Блок хомутовый 25 ОСТ 24.125.127-01;3,30;opora-trub.ru ОСТ 24.125.127-01
Блок хомутовый 26 ОСТ 24.125.127-01;4,60;opora-trub.ru ОСТ 24.125.127-01
Блок хомутовый 27 ОСТ 24.125.127-01;7,80;opora-trub.ru ОСТ 24.125.127-01
Блок хомутовый 28 ОСТ 24.125.127-01;8,70;opora-trub.ru ОСТ 24.125.127-01
Блок хомутовый 29 ОСТ 24.125.127-01;14,70;opora-trub.ru ОСТ 24.125.127-01
Блок хомутовый 30 ОСТ 24.125.127-01;18,50;opora-trub.ru ОСТ 24.125.127-01
Блок хомутовый 31 ОСТ 24.125.127-01;28,20;opora-trub.ru ОСТ 24.125.127-01
Блок хомутовый 32 ОСТ 24.125.127-01;30,30;opora-trub.ru ОСТ 24.125.127-01
Блок хомутовый 33 ОСТ 24.125.127-01;35,50;opora-trub.ru ОСТ 24.125.127-01
Блок хомутовый 34 ОСТ 24.125.127-01;38,10;opora-trub.ru ОСТ 24.125.127-01
Блок хомутовый 35 ОСТ 24.125.127-01;68,20;opora-trub.ru ОСТ 24.125.127-01
Блок хомутовый 36 ОСТ 24.125.127-01;72,00;opora-trub.ru ОСТ 24.125.127-01
Блок хомутовый 37 ОСТ 24.125.127-01;72,50;opora-trub.ru ОСТ 24.125.127-01
Блок хомутовый 38 ОСТ 24.125.127-01;116,30;opora-trub.ru ОСТ 24.125.127-01
Блок хомутовый 39 ОСТ 24.125.127-01;88,70;opora-trub.ru ОСТ 24.125.127-01
Блок хомутовый 40 ОСТ 24.125.127-01;134,50;opora-trub.ru ОСТ 24.125.127-01
Блок хомутовый 41 ОСТ 24.125.127-01;195,20;opora-trub.ru ОСТ 24.125.127-01
Блок хомутовый 42 ОСТ 24.125.127-01;212,80;opora-trub.ru ОСТ 24.125.127-01
Блок хомутовый 43 ОСТ 24.125.127-01;231,00;opora-trub.ru ОСТ 24.125.127-01
Блок хомутовый 44 ОСТ 24.125.127-01;3,10;opora-trub.ru ОСТ 24.125.127-01
Блок хомутовый 45 ОСТ 24.125.127-01;3,40;opora-trub.ru ОСТ 24.125.127-01
Блок хомутовый 46 ОСТ 24.125.127-01;4,80;opora-trub.ru ОСТ 24.125.127-01
Блок хомутовый 47 ОСТ 24.125.127-01;8,10;opora-trub.ru ОСТ 24.125.127-01
Блок хомутовый 48 ОСТ 24.125.127-01;8,60;opora-trub.ru ОСТ 24.125.127-01
Блок хомутовый 49 ОСТ 24.125.127-01;15,20;opora-trub.ru ОСТ 24.125.127-01
Блок хомутовый 50 ОСТ 24.125.127-01;29,30;opora-trub.ru ОСТ 24.125.127-01
Блок хомутовый 51 ОСТ 24.125.127-01;31,20;opora-trub.ru ОСТ 24.125.127-01
Блок хомутовый 52 ОСТ 24.125.127-01;35,40;opora-trub.ru ОСТ 24.125.127-01
Блок хомутовый 53 ОСТ 24.125.127-01;38,80;opora-trub.ru ОСТ 24.125.127-01
