Название опоры;Вес, кг;Источник
Блок пружинный опорный  14 ОСТ 34-10-745-93;4,6;ОСТ 34-10-745-93 (прогиб 70 мм, типоразмер 13-14)
Блок пружинный опорный  14 ОСТ 34-10-745-93;4,6;opora-trub.ru ОСТ 34-10-745
Блок пружинный опорный  15 ОСТ 34-10-745-93;10;ОСТ 34-10-745-93 (прогиб 70 мм, типоразмер 15-16)
Блок пружинный опорный  15 ОСТ 34-10-745-93;10;zavod-ohta ОСТ 34-10-745
Блок пружинный опорный  16 ОСТ 34-10-745-93;11,1;ОСТ 34-10-745-93 (прогиб 70 мм, типоразмер 15-16)
Блок пружинный опорный  16 ОСТ 34-10-745-93;11,1;opora-trub.ru ОСТ 34-10-745
Блок пружинный опорный  22 ОСТ 34-10-745-93;47,5;zavodopora ОСТ 34-10-745-93
Блок пружинный опорный  22 ОСТ 34-10-745-93;47,5;ros-pipe ОСТ 34-10-745-93
