Название опоры;Вес, кг;Источник
ТС-623.000 ПВ;0,97;Серия 5.903-13 вып. 8-95 ТС-623
ТС-623.000-01 ПВ;1,35;Серия 5.903-13 вып. 8-95 ТС-623
ТС-623.000-02 ПВ;1,72;Серия 5.903-13 вып. 8-95 ТС-623
ТС-623.000-03 ПВ;1,2;Серия 5.903-13 вып. 8-95 ТС-623
ТС-623.000-04 ПВ;1,64;Серия 5.903-13 вып. 8-95 ТС-623
ТС-623.000-05 ПВ;2,09;Серия 5.903-13 вып. 8-95 ТС-623
ТС-623.000-06 ПВ;1,46;Серия 5.903-13 вып. 8-95 ТС-623
ТС-623.000-07 ПВ;1,97;Серия 5.903-13 вып. 8-95 ТС-623
ТС-623.000-08 ПВ;2,48;Серия 5.903-13 вып. 8-95 ТС-623
ТС-623.000-09 ПВ;1,82;Серия 5.903-13 вып. 8-95 ТС-623
ТС-623.000-10 ПВ;2,42;Серия 5.903-13 вып. 8-95 ТС-623
ТС-623.000-11 ПВ;3,03;Серия 5.903-13 вып. 8-95 ТС-623
ТС-623.000-12 ПВ;1,76;Серия 5.903-13 вып. 8-95 ТС-623
ТС-623.000-13 ПВ;2,37;Серия 5.903-13 вып. 8-95 ТС-623
ТС-623.000-14 ПВ;3,1;Серия 5.903-13 вып. 8-95 ТС-623
ТС-623.000-15 ПВ;2,1;Серия 5.903-13 вып. 8-95 ТС-623
ТС-623.000-16 ПВ;2,78;Серия 5.903-13 вып. 8-95 ТС-623
ТС-623.000-17 ПВ;3,56;Серия 5.903-13 вып. 8-95 ТС-623
ТС-623.000-18 ПВ;2,46;Серия 5.903-13 вып. 8-95 ТС-623
ТС-623.000-19 ПВ;3,21;Серия 5.903-13 вып. 8-95 ТС-623
ТС-623.000-20 ПВ;4,06;Серия 5.903-13 вып. 8-95 ТС-623
ТС-623.000-21 ПВ;2,98;Серия 5.903-13 вып. 8-95 ТС-623
ТС-623.000-22 ПВ;3,82;Серия 5.903-13 вып. 8-95 ТС-623
ТС-623.000-23 ПВ;4,77;Серия 5.903-13 вып. 8-95 ТС-623
