Название опоры;Вес, кг;Источник
Балка 01 ОСТ 24.125.124-01;25,52;opora-trub.ru ОСТ 24.125.124-01
Балка 02 ОСТ 24.125.124-01;27,44;opora-trub.ru ОСТ 24.125.124-01
Балка 03 ОСТ 24.125.124-01;47,20;opora-trub.ru ОСТ 24.125.124-01
Балка 04 ОСТ 24.125.124-01;54,36;opora-trub.ru ОСТ 24.125.124-01
Балка 05 ОСТ 24.125.124-01;78,70;opora-trub.ru ОСТ 24.125.124-01
Балка 06 ОСТ 24.125.124-01;89,40;opora-trub.ru ОСТ 24.125.124-01
Балка 07 ОСТ 24.125.124-01;120,20;opora-trub.ru ОСТ 24.125.124-01
Балка 08 ОСТ 24.125.124-01;129,80;opora-trub.ru ОСТ 24.125.124-01
