Название опоры;Вес, кг;Источник
426У-01;51;ОСТ 34-10-619-93 катковая (примеры)
530У-09;74;ОСТ 34-10-619-93 катковая (примеры)
630У-13;63;ОСТ 34-10-619-93 катковая (примеры)
720У-17;83;ОСТ 34-10-619-93 катковая (примеры)
820У-21;135;ОСТ 34-10-619-93 катковая (примеры)
920У-25;87;ОСТ 34-10-619-93 катковая (примеры)
1020У-29;120;ОСТ 34-10-619-93 катковая (примеры)
1220У-33;165;ОСТ 34-10-619-93 катковая (примеры)
1420У-37;230;ОСТ 34-10-619-93 катковая (примеры)
1620У-41;274;ОСТ 34-10-619-93 катковая (примеры)
