Название опоры;Вес, кг;Источник
Блок хомутовый 01 ОСТ 24.125.113-01;1,70;opora-trub.ru ОСТ 24.125.113-01
Блок хомутовый 02 ОСТ 24.125.113-01;1,80;opora-trub.ru ОСТ 24.125.113-01
Блок хомутовый 03 ОСТ 24.125.113-01;2,10;opora-trub.ru ОСТ 24.125.113-01
Блок хомутовый 04 ОСТ 24.125.113-01;3,20;opora-trub.ru ОСТ 24.125.113-01
Блок хомутовый 05 ОСТ 24.125.113-01;3,60;opora-trub.ru ОСТ 24.125.113-01
Блок хомутовый 06 ОСТ 24.125.113-01;6,60;opora-trub.ru ОСТ 24.125.113-01
Блок хомутовый 07 ОСТ 24.125.113-01;10,20;opora-trub.ru ОСТ 24.125.113-01
Блок хомутовый 08 ОСТ 24.125.113-01;10,80;opora-trub.ru ОСТ 24.125.113-01
Блок хомутовый 09 ОСТ 24.125.113-01;13,80;opora-trub.ru ОСТ 24.125.113-01
Блок хомутовый 10 ОСТ 24.125.113-01;15,20;opora-trub.ru ОСТ 24.125.113-01
Блок хомутовый 11 ОСТ 24.125.113-01;13,80;opora-trub.ru ОСТ 24.125.113-01
Блок хомутовый 377-11 ОСТ 24.125.113-01;13,80;ОСТ 24.125.113-01 блок 11
Блок хомутовый 377-11 ОСТ 24.125.113-01;13,80;opora-trub ОСТ 24.125.113-01
Блок хомутовый 12 ОСТ 24.125.113-01;36,70;opora-trub.ru ОСТ 24.125.113-01
Блок хомутовый 377-12 ОСТ 24.125.113-01;36,70;ОСТ 24.125.113-01 блок 12
Блок хомутовый 377-12 ОСТ 24.125.113-01;36,70;opora-trub ОСТ 24.125.113-01
Блок хомутовый 13 ОСТ 24.125.113-01;14,90;opora-trub.ru ОСТ 24.125.113-01
Блок хомутовый 14 ОСТ 24.125.113-01;39,10;opora-trub.ru ОСТ 24.125.113-01
Блок хомутовый 15 ОСТ 24.125.113-01;15,70;opora-trub.ru ОСТ 24.125.113-01
Блок хомутовый 16 ОСТ 24.125.113-01;41,50;opora-trub.ru ОСТ 24.125.113-01
Блок хомутовый 17 ОСТ 24.125.113-01;44,70;opora-trub.ru ОСТ 24.125.113-01
Блок хомутовый 18 ОСТ 24.125.113-01;50,00;opora-trub.ru ОСТ 24.125.113-01
Блок хомутовый 19 ОСТ 24.125.113-01;61,00;opora-trub.ru ОСТ 24.125.113-01
Блок хомутовый 20 ОСТ 24.125.113-01;94,00;opora-trub.ru ОСТ 24.125.113-01
Блок хомутовый 21 ОСТ 24.125.113-01;1,60;opora-trub.ru ОСТ 24.125.113-01
Блок хомутовый 22 ОСТ 24.125.113-01;1,80;opora-trub.ru ОСТ 24.125.113-01
Блок хомутовый 23 ОСТ 24.125.113-01;1,90;opora-trub.ru ОСТ 24.125.113-01
Блок хомутовый 24 ОСТ 24.125.113-01;2,10;opora-trub.ru ОСТ 24.125.113-01
Блок хомутовый 25 ОСТ 24.125.113-01;3,00;opora-trub.ru ОСТ 24.125.113-01
Блок хомутовый 26 ОСТ 24.125.113-01;3,40;opora-trub.ru ОСТ 24.125.113-01
Блок хомутовый 27 ОСТ 24.125.113-01;6,40;opora-trub.ru ОСТ 24.125.113-01
Блок хомутовый 28 ОСТ 24.125.113-01;11,80;opora-trub.ru ОСТ 24.125.113-01
Блок хомутовый 29 ОСТ 24.125.113-01;12,40;opora-trub.ru ОСТ 24.125.113-01
Блок хомутовый 30 ОСТ 24.125.113-01;13,40;opora-trub.ru ОСТ 24.125.113-01
Блок хомутовый 31 ОСТ 24.125.113-01;14,60;opora-trub.ru ОСТ 24.125.113-01
Блок хомутовый 32 ОСТ 24.125.113-01;24,50;opora-trub.ru ОСТ 24.125.113-01
Блок хомутовый 33 ОСТ 24.125.113-01;25,90;opora-trub.ru ОСТ 24.125.113-01
Блок хомутовый 34 ОСТ 24.125.113-01;33,10;opora-trub.ru ОСТ 24.125.113-01
Блок хомутовый 35 ОСТ 24.125.113-01;35,90;opora-trub.ru ОСТ 24.125.113-01
Блок хомутовый 36 ОСТ 24.125.113-01;39,90;opora-trub.ru ОСТ 24.125.113-01
Блок хомутовый 37 ОСТ 24.125.113-01;69,80;opora-trub.ru ОСТ 24.125.113-01
Блок хомутовый 38 ОСТ 24.125.113-01;75,80;opora-trub.ru ОСТ 24.125.113-01
Блок хомутовый 39 ОСТ 24.125.113-01;1,70;opora-trub.ru ОСТ 24.125.113-01
Блок хомутовый 40 ОСТ 24.125.113-01;1,90;opora-trub.ru ОСТ 24.125.113-01
Блок хомутовый 41 ОСТ 24.125.113-01;2,00;opora-trub.ru ОСТ 24.125.113-01
Блок хомутовый 42 ОСТ 24.125.113-01;2,20;opora-trub.ru ОСТ 24.125.113-01
Блок хомутовый 43 ОСТ 24.125.113-01;3,20;opora-trub.ru ОСТ 24.125.113-01
Блок хомутовый 44 ОСТ 24.125.113-01;3,70;opora-trub.ru ОСТ 24.125.113-01
Блок хомутовый 45 ОСТ 24.125.113-01;12,40;opora-trub.ru ОСТ 24.125.113-01
Блок хомутовый 46 ОСТ 24.125.113-01;13,00;opora-trub.ru ОСТ 24.125.113-01
Блок хомутовый 47 ОСТ 24.125.113-01;14,10;opora-trub.ru ОСТ 24.125.113-01
Блок хомутовый 48 ОСТ 24.125.113-01;15,40;opora-trub.ru ОСТ 24.125.113-01
