Название опоры;Вес, кг;Источник
Подвеска 01 ОСТ 24.125.126-01;137,73;opora-trub.ru ОСТ 24.125.126-01
Подвеска 02 ОСТ 24.125.126-01;114,81;opora-trub.ru ОСТ 24.125.126-01
Подвеска 03 ОСТ 24.125.126-01;144,86;opora-trub.ru ОСТ 24.125.126-01
Подвеска 04 ОСТ 24.125.126-01;119,25;opora-trub.ru ОСТ 24.125.126-01
Подвеска 05 ОСТ 24.125.126-01;137,73;opora-trub.ru ОСТ 24.125.126-01
Подвеска 06 ОСТ 24.125.126-01;114,81;opora-trub.ru ОСТ 24.125.126-01
Подвеска 07 ОСТ 24.125.126-01;144,86;opora-trub.ru ОСТ 24.125.126-01
Подвеска 08 ОСТ 24.125.126-01;119,25;opora-trub.ru ОСТ 24.125.126-01
Подвеска 09 ОСТ 24.125.126-01;195,88;opora-trub.ru ОСТ 24.125.126-01
Подвеска 10 ОСТ 24.125.126-01;164,58;opora-trub.ru ОСТ 24.125.126-01
Подвеска 11 ОСТ 24.125.126-01;195,88;opora-trub.ru ОСТ 24.125.126-01
Подвеска 12 ОСТ 24.125.126-01;164,58;opora-trub.ru ОСТ 24.125.126-01
Подвеска 13 ОСТ 24.125.126-01;195,88;opora-trub.ru ОСТ 24.125.126-01
Подвеска 14 ОСТ 24.125.126-01;165,58;opora-trub.ru ОСТ 24.125.126-01
Подвеска 15 ОСТ 24.125.126-01;206,58;opora-trub.ru ОСТ 24.125.126-01
Подвеска 16 ОСТ 24.125.126-01;175,28;opora-trub.ru ОСТ 24.125.126-01
Подвеска 17 ОСТ 24.125.126-01;206,58;opora-trub.ru ОСТ 24.125.126-01
Подвеска 18 ОСТ 24.125.126-01;175,28;opora-trub.ru ОСТ 24.125.126-01
Подвеска 19 ОСТ 24.125.126-01;237,44;opora-trub.ru ОСТ 24.125.126-01
Подвеска 20 ОСТ 24.125.126-01;206,14;opora-trub.ru ОСТ 24.125.126-01
Подвеска 21 ОСТ 24.125.126-01;247,04;opora-trub.ru ОСТ 24.125.126-01
Подвеска 22 ОСТ 24.125.126-01;215,74;opora-trub.ru ОСТ 24.125.126-01
