Название опоры;Вес, кг;Источник
57У-01;1,1;ОПОРЫ-ЛЭП ОСТ 34-10-617-93
57К-02;1,1;ОПОРЫ-ЛЭП ОСТ 34-10-617-93
76У-03;1,4;ОПОРЫ-ЛЭП ОСТ 34-10-617-93
76К-04;1,4;ОПОРЫ-ЛЭП ОСТ 34-10-617-93
89У-05;1,6;ОПОРЫ-ЛЭП ОСТ 34-10-617-93
89К-06;1,6;ОПОРЫ-ЛЭП ОСТ 34-10-617-93
108У-07;2,7;ОПОРЫ-ЛЭП ОСТ 34-10-617-93
108К-08;2,7;ОПОРЫ-ЛЭП ОСТ 34-10-617-93
108У-09;3,2;ОПОРЫ-ЛЭП ОСТ 34-10-617-93
108К-10;3,2;ОПОРЫ-ЛЭП ОСТ 34-10-617-93
133У-11;3,3;ОПОРЫ-ЛЭП ОСТ 34-10-617-93
133К-12;3,3;ОПОРЫ-ЛЭП ОСТ 34-10-617-93
133У-13;3,8;ОПОРЫ-ЛЭП ОСТ 34-10-617-93
133К-14;3,8;ОПОРЫ-ЛЭП ОСТ 34-10-617-93
159У-15;3,8;ОПОРЫ-ЛЭП ОСТ 34-10-617-93
159К-16;3,8;ОПОРЫ-ЛЭП ОСТ 34-10-617-93
159У-17;4,4;ОПОРЫ-ЛЭП ОСТ 34-10-617-93
159К-18;4,4;ОПОРЫ-ЛЭП ОСТ 34-10-617-93
219У-19;9,5;ОПОРЫ-ЛЭП ОСТ 34-10-617-93
219К-20;10,5;ОПОРЫ-ЛЭП ОСТ 34-10-617-93
219У-21;10,5;ОПОРЫ-ЛЭП ОСТ 34-10-617-93
219К-22;11,5;ОПОРЫ-ЛЭП ОСТ 34-10-617-93
273У-23;11,0;ОПОРЫ-ЛЭП ОСТ 34-10-617-93
273К-24;12,0;ОПОРЫ-ЛЭП ОСТ 34-10-617-93
273У-25;12,5;ОПОРЫ-ЛЭП ОСТ 34-10-617-93
273К-26;13,5;ОПОРЫ-ЛЭП ОСТ 34-10-617-93
325У-27;17,5;ОПОРЫ-ЛЭП ОСТ 34-10-617-93
325К-28;20,0;ОПОРЫ-ЛЭП ОСТ 34-10-617-93
325У-29;19,5;ОПОРЫ-ЛЭП ОСТ 34-10-617-93
325К-30;22,0;ОПОРЫ-ЛЭП ОСТ 34-10-617-93
377У-31;19,5;ОПОРЫ-ЛЭП ОСТ 34-10-617-93
377К-32;22,0;ОПОРЫ-ЛЭП ОСТ 34-10-617-93
377У-33;22,0;ОПОРЫ-ЛЭП ОСТ 34-10-617-93
377К-34;24,0;ОПОРЫ-ЛЭП ОСТ 34-10-617-93
426У-35;39,5;ОПОРЫ-ЛЭП ОСТ 34-10-617-93
Опора 426 У 35 ОСТ 34-10-617-93;39,5;ОСТ 34-10-617-93 426У-35
Опора 426 У 35 ОСТ 34-10-617-93;39,5;opora-trub.ru ОСТ 34-10-617
426К-36;41,0;ОПОРЫ-ЛЭП ОСТ 34-10-617-93
426У-37;42,0;ОПОРЫ-ЛЭП ОСТ 34-10-617-93
426К-38;45,0;ОПОРЫ-ЛЭП ОСТ 34-10-617-93
478У-39;40,0;ОПОРЫ-ЛЭП ОСТ 34-10-617-93
478К-40;43,5;ОПОРЫ-ЛЭП ОСТ 34-10-617-93
478У-41;44,0;ОПОРЫ-ЛЭП ОСТ 34-10-617-93
478К-42;47,0;ОПОРЫ-ЛЭП ОСТ 34-10-617-93
530У-43;43,0;ОПОРЫ-ЛЭП ОСТ 34-10-617-93
530К-44;46,0;ОПОРЫ-ЛЭП ОСТ 34-10-617-93
530У-45;46,0;ОПОРЫ-ЛЭП ОСТ 34-10-617-93
530К-46;49,0;ОПОРЫ-ЛЭП ОСТ 34-10-617-93
630У-47;59,0;ОПОРЫ-ЛЭП ОСТ 34-10-617-93
630К-48;63,0;ОПОРЫ-ЛЭП ОСТ 34-10-617-93
630У-49;64,0;ОПОРЫ-ЛЭП ОСТ 34-10-617-93
630К-50;68,0;ОПОРЫ-ЛЭП ОСТ 34-10-617-93
720У-51;82,0;ОПОРЫ-ЛЭП ОСТ 34-10-617-93
720К-52;88,0;ОПОРЫ-ЛЭП ОСТ 34-10-617-93
720У-53;87,0;ОПОРЫ-ЛЭП ОСТ 34-10-617-93
720К-54;94,0;ОПОРЫ-ЛЭП ОСТ 34-10-617-93
820У-55;86,0;ОПОРЫ-ЛЭП ОСТ 34-10-617-93
820К-56;94,0;ОПОРЫ-ЛЭП ОСТ 34-10-617-93
820У-57;92,0;ОПОРЫ-ЛЭП ОСТ 34-10-617-93
820К-58;100,0;ОПОРЫ-ЛЭП ОСТ 34-10-617-93
920У-59;113,0;ОПОРЫ-ЛЭП ОСТ 34-10-617-93
920К-60;122,0;ОПОРЫ-ЛЭП ОСТ 34-10-617-93
920У-61;120,0;ОПОРЫ-ЛЭП ОСТ 34-10-617-93
920К-62;130,0;ОПОРЫ-ЛЭП ОСТ 34-10-617-93
