Название опоры;Вес, кг;Источник
108-01;3,2;МеталлЭнерго ОСТ 34-10-621-93
133-02;3,6;МеталлЭнерго ОСТ 34-10-621-93
159-03;3,9;МеталлЭнерго ОСТ 34-10-621-93
219-04;6,4;МеталлЭнерго ОСТ 34-10-621-93
273-05;8,7;МеталлЭнерго ОСТ 34-10-621-93
325-06;16,0;МеталлЭнерго ОСТ 34-10-621-93
377-07;19,0;МеталлЭнерго ОСТ 34-10-621-93
426-08;27,0;МеталлЭнерго ОСТ 34-10-621-93
530-09;39,0;МеталлЭнерго ОСТ 34-10-621-93
530-10;36,0;МеталлЭнерго ОСТ 34-10-621-93
630-11;112,0;МеталлЭнерго ОСТ 34-10-621-93
630-12;56,0;МеталлЭнерго ОСТ 34-10-621-93
720-13;146,0;МеталлЭнерго ОСТ 34-10-621-93
720-14;77,0;МеталлЭнерго ОСТ 34-10-621-93
820-15;187,0;МеталлЭнерго ОСТ 34-10-621-93
820-16;99,0;МеталлЭнерго ОСТ 34-10-621-93
1020-17;268,0;МеталлЭнерго ОСТ 34-10-621-93
1020-18;148,0;МеталлЭнерго ОСТ 34-10-621-93
1220-19;381,0;МеталлЭнерго ОСТ 34-10-621-93
1220-20;216,0;МеталлЭнерго ОСТ 34-10-621-93
1420-21;388,0;МеталлЭнерго ОСТ 34-10-621-93
1420-22;273,0;МеталлЭнерго ОСТ 34-10-621-93
